lagoslakei,area,perimeter,bbox_lw_rat,dist_pole,SDI
"5863",1043072.019531250000000,11434.207302911341685,2.663,109.13861521281,3.158
"5866",935556.629882812500000,9948.903716506767523,1.501,112.921930020199,2.902
"5865",362830.400878906250000,3750.762551699397136,1.058,110.992825568993,1.757
"5892",587731.132324218750000,5990.151304490926123,1.574,106.394105714531,2.204
"5894",323612.462402343750000,3346.551990806059166,1.455,103.410513989665,1.660
"5893",493820.185546875000000,5084.593651718929323,1.098,106.283424221567,2.041
"5888",560771.476562500000000,5770.229520156348372,2.242,109.662545395378,2.174
"5887",817471.255859375000000,8675.669919024723640,2.011,140.220246153469,2.707
"5890",559818.348144531250000,5929.907700902058423,1.187,108.152489709674,2.236
"136690",684207.070098876953125,7183.420193462441603,1.149,111.582446901047,2.450
"14063",1754555.765380859375000,17973.424807431903901,1.290,137.033765733743,3.828
"5889",640920.359863281250000,6568.818801193783656,1.428,105.985571928493,2.315
"14066",2266183.855250835418701,24349.374749100014014,1.047,136.557132659131,4.563
"5883",321720.274414062500000,3302.166204269047739,1.217,101.032429111512,1.642
"5886",2963823.834472656250000,31111.158786386797146,2.054,157.551336368564,5.098
"5885",684312.513671875000000,7300.135093529357619,1.391,111.082971932085,2.489
"5880",708064.326660156250000,7206.751304007369981,1.346,109.947822755781,2.416
"136680",1566265.575973510742188,17035.433740570868395,1.544,121.857583910903,3.840
"5882",1197542.816406250000000,12562.548637582664014,1.402,129.323175752018,3.238
"5881",405210.940917968750000,4210.158942122613553,1.300,110.455318306257,1.866
"5844",490986.525390625000000,5036.086535842714511,1.195,108.877499606897,2.027
"5843",353689.554687500000000,3593.214499829948636,1.446,110.037994321375,1.704
"5846",448342.286132812500000,4597.129507038106567,1.305,108.761006699704,1.937
"5845",1262566.312011718750000,12901.195317355428415,2.358,110.846078286418,3.239
"5840",1500885.555664062500000,15594.938384112041604,1.838,144.175209785069,3.591
"5842",574933.621093750000000,5937.195293572417540,1.930,103.885436579151,2.209
"5841",656120.116210937500000,6697.651938280392642,1.516,101.424473364212,2.333
"5836",356405.435058593750000,3653.120015373949172,1.599,108.978826803505,1.726
"5835",472682.216796875000000,4854.282819152615957,1.893,104.057309715721,1.992
"5837",442856.174316406250000,4553.323265384247861,1.964,107.143741362135,1.930
"128396",1995054.385559082031250,20630.873278603787185,1.365,112.933233277724,4.120
"5832",455685.024414062500000,4845.707137066047835,1.691,112.324738356813,2.025
"5831",745260.142578125000000,7937.153754102739185,1.305,119.111141563276,2.594
"5833",468853.083984375000000,4872.993860521683018,1.662,104.886280487162,2.008
"5860",2309422.539062500000000,24001.015026632117952,2.386,133.395287174168,4.455
"14073",4168386.605976104736328,42809.870478052464023,1.451,146.337335771473,5.915
"5859",799821.123535156250000,8351.329304663871881,1.214,116.978528973229,2.634
"5862",375119.715820312500000,3880.019099805377209,1.005,105.511327467623,1.787
"5856",461970.821777343750000,4745.304983967494991,1.557,108.544262245221,1.969
