lagoslakei,hcurv_min,hcurv_max,hcurv_median,vcurv_min,vcurv_max,vcurv_median,elev_min,elev_max,elev_median,slope_min,slope_max,slope_median,relief1000_min,relief1000_max,relief1000_median,relief500_min,relief500_max,relief500_median,relief100_min,relief100_max,relief100_median,relief50_min,relief50_max,relief50_median,dev1000_min,dev1000_max,dev1000_median,dev500_min,dev500_max,dev500_median,dev100_min,dev100_max,dev100_median,dev50_min,dev50_max,dev50_median
3745,-0.001793964,0.001285399,-2.32e-5,-0.001910871,0.001000094,-7.19e-6,147,175,160,0,15.43241348,5.069598068,29,61,44,12,44,29,3,18,9,1,11,4,-1.815555447,0.526227541,-0.805190454,-2.690233101,1.55073315,-0.390333353,-2.028241278,2.24210326,-0.017685209,-1.6932834,1.80952381,0
1825,-7.13e-4,8.17e-4,-1.14e-5,-7.35e-4,6.98e-4,1.18e-5,17,33,24,0,8.156525428,2.585863159,9,22,14,5,19,10,1,10,4,0,6,2,-2.848607164,1.737491833,-0.639573498,-2.92592531,1.940896532,-0.295274221,-2.376273213,2.289357261,0.043469493,-1.833333333,1.924500897,0
2222,-6.82e-4,8.41e-4,1.18e-5,-5.73e-4,7.72e-4,5.6e-5,39,51,45,0,12.93355746,2.212167825,7,24,12,6,14,8,0,12,5,0,9,2,-2.235228988,1.597677636,-0.412808865,-1.880157723,1.476528079,-0.038000122,-1.750964016,2.065262278,0.0010478,-1.763834207,1.763834207,0
2647,-8.48e-4,8.09e-4,3.92e-6,-0.001030027,5.82e-4,-4.93e-5,-1,13,3,0,8.762809577,1.854334169,11,20,16,5,18,12,1,10,3,0,6,2,-1.22395858,1.465713828,-0.29186711,-1.87676322,1.55593127,-0.304748278,-1.902331139,2.147844018,-0.077058926,-2.666666667,2.666666667,0
2742,-0.001002053,8.28e-4,4.14e-5,-6.15e-4,8.18e-4,5.68e-5,12,28,19,0,10.56024007,2.209670083,6,20,11,4,17,9,0,11,4,0,8,2,-1.758054573,1.827825759,0.25772582,-1.544628058,2.434323773,0.288937908,-2.827170497,2.373351271,0.079095478,-2.666666667,2.666666667,0
2989,-0.001560504,0.001642137,5.11e-5,-0.00164217,0.001735387,5.23e-5,13,33,22,0,14.46593391,4.592757938,14,28,21,11,27,19,2,16,8,1,10,4,-2.53683383,3.038513559,-0.141324277,-2.242494415,2.531196322,-0.074183001,-2.224117534,2.041645283,0.012010563,-2.211083194,1.788854382,0.001173646
3245,-0.001630077,0.002078002,8.31e-5,-0.001788306,0.001248159,-2.2e-4,333,386,354,0,21.53246469,6.687965288,39,80,65,30,67,45,0,24,12,0,13,5,-2.003697218,0.44487173,-0.97747848,-1.794825071,0.800893981,-0.472866548,-1.807273603,1.191376919,-0.025775148,-1.705605731,1.988269694,0
3282,-0.00228969,0.001828734,1.91e-5,-0.002352745,0.002279061,-1.07e-4,191,244,212,0,19.20638086,6.684588664,55,124,88,28,86,62,3,31,12,1,14,5,-1.685140901,0.779891643,-0.84993189,-1.725126807,1.984296326,-0.479508506,-1.76224517,1.386183067,-0.071152337,-1.885618083,1.55417468,5.19e-4
3530,-0.002485463,0.002359921,1.99e-4,-0.002926417,0.002899498,2.9e-4,273,312,293,0,27.54263052,6.067209876,19,42,27,15,41,25,0,30,12,0,19,5,-1.831518684,2.106752831,0.038706719,-2.185588866,1.77918491,0.243433898,-1.945294292,2.040671045,0.163188133,-1.988269694,1.80952381,0.085451502
3662,-7.1e-4,0.001177499,6.42e-5,-8.56e-4,0.001074822,2.61e-5,333,353,340,0,12.01663011,2.213550473,10,46,18,5,18,10,0,13,4,0,8,2,-1.595028927,2.165431057,-0.164166475,-1.765181927,2.705947675,0.174836673,-2.362551349,2.06489444,0.07936489,-2,2.666666667,0
3977,-0.001448024,0.001357835,8.57e-5,-0.001383362,0.00133052,-1.91e-4,201,231,209,0,16.86529342,3.731560907,57,106,76,8,67,40,2,21,7,1,13,3,-1.049491273,0.143772187,-0.604423491,-1.920845297,1.974637836,-0.428550056,-2.574802453,2.038304835,-0.016230217,-1.776672636,1.849000654,0
3995,-8.42e-4,0.002485177,5.4e-5,-0.00114711,0.002260887,2.23e-5,312,331,319,0,19.03230772,2.266900075,7,17,11,5,17,9,0,15,4,0,13,2,-2.344021595,4.335122813,0.323906331,-3.643898246,3.398131021,0.389382104,-2.97573522,2.360610424,0.139333323,-2.666666667,2.666666667,0
688,-0.001222182,0.002089579,3.85e-5,-0.001652386,0.001874204,3.36e-6,188,210,195,0,15.50685169,2.703590849,6,27,15,5,23,11,0,15,5,0,12,2,-1.586954165,2.742440047,-0.108667549,-1.790450199,3.941529287,-0.044163993,-2.495401176,2.647871914,0.00188245,-2.141213516,2,4.34e-5
1149,-0.002375645,0.002175229,7.8e-5,-0.002702694,0.001743934,-3.24e-4,290,342,309,0,20.91599227,6.407344897,67,151,92,17,97,56,3,28,11,1,14,5,-1.15905674,1.002324194,-0.443837414,-1.937919993,1.524316858,-0.397403511,-1.807053309,1.787741034,-0.00988648,-1.466666667,2.035526756,3.02e-4
