lagoslakeid,lake_nets_upstreamlake_km,lake_nets_downstreamlake_km,lake_nets_bidirectionallake_km,lake_nets_upstreamlake_n,lake_nets_downstreamlake_n,lake_nets_lakeorder,lake_nets_lnn,net_id,net_lakes_n,net_averagelakedistance_km,net_averagelakearea_ha,lake_nets_nearestdamdown_km,lake_nets_nearestdamdown_id,lake_nets_totaldamdown_n,lake_nets_nearestdamup_km,lake_nets_nearestdamup_id,lake_nets_totaldamup_n,lake_nets_damonlake_flag,lake_nets_multidam_flag,net_dams_n,nhdplusv2_comid
122,2.25,NA,2.25,82,0,6,10,13,240,122.384,76.87,0,90004,2,9.529,20376; 20375,10,Y,N,26,1776146
23963,0.41,171.682,0.41,1,1,2,2,13,240,122.384,76.87,22.903,20373,3,NA,NA,0,N,N,26,1768636
27054,0.773,7.183,0.773,3,1,2,3,293,23,4.989,75.214,NA,NA,0,NA,NA,0,N,N,2,4796846
3526,0.486,NA,0.486,4,0,3,4,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4796084
3266,0.299,0.199,0.199,3,1,2,3,164,30,10.463,58.612,NA,NA,0,NA,NA,0,N,N,0,4796546
171,NA,NA,11.307,0,0,0,1,322,2,11.307,76.16,NA,NA,0,NA,NA,0,N,N,0,4796786
573,0.145,0.062,0.062,3,1,3,5,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4793182
137040,0.042,NA,0.042,3,0,4,8,200,64,15.207,92.513,NA,NA,0,NA,NA,0,N,N,0,4792756
103848,NA,0.093,0.093,0,1,0,1,200,64,15.207,92.513,NA,NA,0,NA,NA,0,N,N,0,4792754
114083,NA,0.255,0.255,0,1,1,1,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1773716
82180,NA,3.859,3.113,0,1,1,1,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1776124
126759,NA,46.349,22.84,0,1,0,1,13,240,122.384,76.87,39.507,20376; 20375,2,NA,NA,0,N,N,26,1775870
38513,NA,71.619,36.258,0,1,1,1,13,240,122.384,76.87,64.777,20376; 20375,2,NA,NA,0,N,N,26,1791839
3342,NA,6.141,6.141,0,1,1,1,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1770992
106946,3.481,3.082,3.082,10,1,3,3,13,240,122.384,76.87,3.082,20363,1,NA,NA,0,N,N,26,1765878
130914,0.182,194.525,0.182,2,1,2,3,13,240,122.384,76.87,45.746,20373,3,NA,NA,0,N,N,26,1768456
27069,NA,0.781,0.781,0,1,0,1,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1768618
118314,NA,0.912,0.912,0,1,2,1,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1769044
33247,NA,32.162,20.411,0,1,0,1,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1765612
119350,0.482,9.107,0.482,17,1,5,6,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1791881
48989,15.07,12.049,6.004,1,1,3,2,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1790341
115165,NA,0.978,0.978,0,1,0,1,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1790365
74828,NA,0.51,0.51,0,1,0,1,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1790205
36382,NA,1.155,1.155,0,1,1,1,130,45,61.623,36.693,NA,NA,0,NA,NA,0,N,N,7,1816097
2771,4.6,0.905,0.905,1,1,1,2,130,45,61.623,36.693,0,50431,1,NA,NA,0,N,N,7,1816443
58323,NA,NA,5.476,0,0,2,1,144,15,25.744,10.299,NA,NA,0,NA,NA,0,N,N,0,4803312
63520,0.56,NA,0.56,1,0,1,2,144,15,25.744,10.299,NA,NA,0,NA,NA,0,N,N,0,4803320
50044,NA,NA,5.29,0,0,0,1,144,15,25.744,10.299,NA,NA,0,NA,NA,0,N,N,0,4803266
36370,5.156,NA,5.156,2,0,2,3,180,11,17.878,33.759,NA,NA,0,NA,NA,0,N,N,0,4802262
4723,NA,2.335,2.335,0,1,0,1,130,45,61.623,36.693,NA,NA,0,NA,NA,0,N,N,7,1813673
120453,2.335,NA,2.335,1,0,2,2,130,45,61.623,36.693,NA,NA,0,NA,NA,0,N,N,7,1813645
84325,0.616,0.226,0.226,3,1,4,11,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4796100
135077,0.283,0.504,0.283,1,1,1,2,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4795696
10316,NA,0.209,0.209,0,1,0,1,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4796094
12391,1.017,0.17,0.17,1,1,2,3,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4793552
4925,NA,NA,12.312,0,0,1,1,130,45,61.623,36.693,NA,NA,0,NA,NA,0,N,N,7,1813737
59389,NA,NA,40.614,0,0,0,1,130,45,61.623,36.693,NA,NA,0,NA,NA,0,N,N,7,1813675
34301,NA,0.145,0.145,0,1,0,1,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4793356
28028,1.386,0.492,0.492,1,1,2,3,200,64,15.207,92.513,NA,NA,0,NA,NA,0,N,N,0,4792996
10310,NA,0.254,0.254,0,1,0,1,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4795602
115171,NA,1.803,1.803,0,1,0,1,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4793472
3247,0.168,0.289,0.168,1,1,2,2,277,50,3.038,24.274,NA,NA,0,NA,NA,0,N,N,0,4796134
118320,NA,0.188,0.188,0,1,0,1,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4796116
122561,3.898,6.663,3.898,2,1,3,11,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4796390
45881,0.109,3.617,0.109,1,1,1,2,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4796106
35324,NA,0.718,0.718,0,1,0,1,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4795740
88494,NA,0.42,0.42,0,1,1,1,200,64,15.207,92.513,NA,NA,0,NA,NA,0,N,N,0,4793084
111066,NA,NA,10.131,0,0,0,1,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4796056
96671,NA,NA,12.538,0,0,0,1,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4795924
35328,NA,0.307,0.307,0,1,0,1,200,64,15.207,92.513,NA,NA,0,NA,NA,0,N,N,0,4795896
1923,0.025,2.116,0.025,2,1,3,12,200,64,15.207,92.513,NA,NA,0,NA,NA,0,N,N,0,4792930
1671,NA,2.3,2.3,0,1,0,1,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1775796
1515,0.482,71.184,0.482,2,1,4,3,13,240,122.384,76.87,0,20386,3,2.282,20596,2,N,N,26,1792789
127784,0.345,79.193,0.345,6,1,5,7,13,240,122.384,76.87,0,20385,3,0.345,20383,2,Y,N,26,7177914
5111,0.953,2.773,0.953,1,1,2,3,296,7,4.037,91.395,NA,NA,0,NA,NA,0,N,N,0,1801939
3229,0.742,1.046,0.742,6,1,2,4,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1790543
127786,0.623,0.391,0.391,3,1,2,3,293,23,4.989,75.214,NA,NA,0,NA,NA,0,N,N,2,4801528
4922,1.234,2.887,1.234,3,1,3,2,130,45,61.623,36.693,NA,NA,0,6.324,50905,1,N,N,7,1813677
3600,NA,0.26,0.26,0,1,1,1,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4795756
21768,0.26,1.992,0.26,3,1,4,10,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4795900
1340,0.353,0.091,0.091,2,1,2,2,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4795414
1494,NA,0.905,0.905,0,1,2,1,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4795976
525,NA,0.594,0.594,0,1,1,1,277,50,3.038,24.274,NA,NA,0,NA,NA,0,N,N,0,4796460
79097,0.558,1.017,0.558,1,1,1,2,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4793460
104870,0.323,8.676,0.323,1,1,3,15,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,4793660
71662,NA,0.776,0.776,0,1,2,1,200,64,15.207,92.513,NA,NA,0,NA,NA,0,N,N,0,4792808
2060,0.128,0.371,0.128,3,1,2,2,23,237,8.113,38.907,NA,NA,0,NA,NA,0,N,N,1,166766527
1452,0.307,3.335,0.307,1,1,2,2,200,64,15.207,92.513,NA,NA,0,NA,NA,0,N,N,0,4795830
120456,0.949,1.676,0.949,1,1,1,2,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1773810
131954,NA,1.18,1.18,0,1,0,1,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1773774
805,NA,165.503,10.193,0,1,2,1,13,240,122.384,76.87,158.661,20376; 20375,2,NA,NA,0,N,N,26,1768466
1682,9.252,169.314,9.252,4,1,3,3,13,240,122.384,76.87,162.472,20376; 20375,2,8.776,20370,1,N,N,26,1768558
775,2.612,171.927,2.612,2,1,2,3,13,240,122.384,76.87,165.085,20376; 20375,2,NA,NA,0,N,N,26,1768240
408,NA,NA,27.096,0,0,0,1,304,16,39.924,13.623,NA,NA,0,NA,NA,0,N,N,4,1799781
111071,NA,0.536,0.536,0,1,0,1,304,16,39.924,13.623,NA,NA,0,NA,NA,0,N,N,4,1803755
81130,15.707,153.022,5.23,1,1,3,2,13,240,122.384,76.87,146.18,20376; 20375,2,NA,NA,0,N,N,26,1769144
3328,NA,153.585,5.23,0,1,1,1,13,240,122.384,76.87,146.743,20376; 20375,2,NA,NA,0,N,N,26,1771024
73766,11.856,157.54,5.253,1,1,2,4,13,240,122.384,76.87,150.698,20376; 20375,2,NA,NA,0,N,N,26,1768938
16458,NA,65.229,15.118,0,1,2,1,13,240,122.384,76.87,58.387,20376; 20375,2,NA,NA,0,N,N,26,1792707
73818,3.51,192.043,3.51,1,1,2,3,13,240,122.384,76.87,43.264,20373,3,NA,NA,0,N,N,26,1768710
15598,NA,1.439,1.439,0,1,0,1,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1791943
9258,NA,11.404,11.404,0,1,1,1,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1768792
1075,NA,1.078,1.078,0,1,0,1,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1792711
86374,NA,18.976,14.674,0,1,2,1,338,6,9.469,65.832,NA,NA,0,NA,NA,0,N,N,1,1803771
114093,NA,13.082,12.819,0,1,0,1,304,16,39.924,13.623,NA,NA,0,NA,NA,0,N,N,4,1803565
4375,NA,0.45,0.45,0,1,1,1,338,6,9.469,65.832,NA,NA,0,NA,NA,0,N,N,1,1803593
120445,NA,31.572,31.572,0,1,0,1,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1766254
1663,0.243,44.079,0.243,1,1,1,2,13,240,122.384,76.87,NA,NA,0,0.243,20379,1,N,N,26,1790497
104880,1.297,1.346,1.297,1,1,1,2,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1790539
84324,NA,2.232,2.232,0,1,0,1,13,240,122.384,76.87,NA,NA,0,NA,NA,0,N,N,26,1767410
48986,NA,0.198,0.198,0,1,2,1,296,7,4.037,91.395,NA,NA,0,NA,NA,0,N,N,0,1801923
