NLAID,LAGOSID
NLA06608-NELP-1330,"7579"
NLA06608-0401,"7585"
NLA12_ME-R07,"8462"
NLA06608-ELS:1E3-002,"81970"
NLA06608-NELP-3355,"7977"
NLA06608-ELS:1E3-071,"22626"
NLA12_ME-104,"84101"
NLA06608-NELP-0955,"7821"
NLA06608-EMAP:ME012L,"7502"
NLA06608-ELS:1E3-012,"7815"
NLA06608-NELP-2155,"141398"
NLA12_ME-105,"25821"
NLA12_ME-129,"34079"
NLA12_ME-113,"95465"
NLA06608-ELS:1E1-052,"73542"
NLA12_ME-135,"90380"
NLA06608-NELP-0253,"8249"
NLA06608-EMAP:ME011L,"8360"
NLA12_ME-115,"8063"
NLA12_ME-120,"98543"
NLA06608-NELP-3586,"7928"
NLA12_ME-116,"70496"
NLA12_ME-102,"7712"
NLA12_ME-109,"7676"
NLA06608-ELS:1C3-003,"105746"
NLA06608-ELS:1E2-027,"67465"
NLA06608-1174,"8242"
NLA12_ME-114,"8397"
NLA12_ME-130,"76714"
NLA12_NH-102,"5826"
NLA12_ME-106,"8514"
NLA12_ME-R02,"284"
NLA06608-ELS:1E1-096,"7717"
NLA12_ME-R08,"7828"
NLA06608-EMAP:ME263L,"7840"
NLA12_ME-122,"11175"
NLA12_ME-107,"11172"
NLA06608-1558,"11168"
NLA06608-ELS:1E1-128,"71508"
NLA06608-ALPS-1218,"80929"
NLA12_ME-R11,"8467"
NLA12_ME-126,"128989"
NLA12_ME-118,"7854"
NLA06608-NH250L,"5650"
NLA12_NH-115,"5948"
NLA12_ME-137,"20496"
NLA12_ME-110,"8042"
NLA12_NH-107,"27868"
NLA12_NH-101,"6016"
NLA12_ME-121,"7672"
NLA12_NH-111,"5863"
NLA12_NH-104,"5610"
NLA12_NH-R04,"5855"
NLA06608-0546,"17315"
NLA06608-0610,"6141"
NLA12_NH-109,"6296"
NLA06608-0050,"5748"
NLA06608-0930,"5592"
NLA06608-ELS:1C2-032,"6273"
NLA06608-0226,"107779"
NLA06608-0418,"6164"
NLA06608-0354,"51959"
NLA06608-0470,"5677"
NLA12_NH-108,"5993"
NLA06608-0738,"5949"
NLA12_MA-103,"42647"
NLA06608-0550,"5909"
NLA06608-0662,"6323"
NLA12_MA-110,"96546"
NLA12_VT-144,"5070"
NLA12_VT-174,"111945"
NLA12_VT-159,"2219"
NLA12_VT-121,"127948"
NLA12_MA-109,"40"
NLA12_VT-115,"128970"
NLA12_NH-105,"5934"
NLA06608-0982,"5542"
NLA12_VT-158,"170"
NLA12_VT-153,"137235"
NLA12_VT-139,"74627"
NLA06608-0802,"122399"
NLA12_VT-165,"198"
NLA12_VT-106,"907"
NLA12_VT-169,"2926"
NLA12_MA-105,"127944"
NLA12_VT-143,"5227"
NLA12_VT-109,"1910"
NLA12_VT-155,"5310"
NLA12_VT-152,"242"
NLA12_VT-175,"896"
NLA12_MA-106,"123533"
NLA12_NH-112,"26910"
NLA12_VT-132,"15274"
NLA12_VT-164,"4360"
NLA06608-0582,"7140"
NLA12_CT-107,"68485"
NLA06608-9999,"4449"
NLA06608-0674,"49"
NLA12_VT-125,"410"
NLA12_VT-157,"31025"
NLA12_MA-105,"114986"
NLA06608-ELS:1D2-087,"18378"
NLA12_CT-102,"7329"
NLA12_VT-168,"3211"
NLA12_RI-112,"50927"
NLA12_RI-110,"23811"
NLA06608-2354,"8354"
NLA12_RI-111,"8335"
NLA06608-0198,"5068"
NLA06608-0754,"7961"
NLA12_RI-108,"71546"
NLA12_RI-108,"8333"
NLA06608-0690,"46742"
NLA12_RI-102,"7695"
NLA06608-2566,"7788"
NLA12_RI-103,"7460"
NLA06608-2162,"7970"
NLA12_MA-101,"126901"
NLA12_RI-104,"7593"
NLA06608-1586,"7832"
NLA12_RI-113,"31064"
NLA12_MA-102,"37325"
NLA12_MA-102,"73599"
NLA06608-ELS:1D1-035,"121371"
NLA06608-3846,"8365"
NLA06608-1906,"8292"
NLA12_MA-108,"43708"
NLA12_MA-111,"90442"
NLA06608-1222,"12226"
NLA06608-1122,"119222"
NLA12_RI-104,"7544"
NLA12_RI-112,"41593"
NLA06608-0242,"7324"
NLA06608-4413,"24849"
NLA12_CT-108,"123501"
NLA06608-0326,"7350"
NLA12_CT-104,"7088"
NLA12_CT-115,"92485"
NLA06608-0293,"7340"
NLA12_CT-126,"6582"
NLA06608-3890,"18436"
NLA12_CT-118,"6578"
NLA06608-1010,"7429"
NLA06608-1414,"6441"
NLA06608-0101,"6729"
NLA12_CT-103,"76789"
NLA06608-0946,"6698"
NLA06608-3890,"6421"
NLA06608-1125,"6761"
NLA06608-0805,"6590"
NLA06608-0037,"6733"
NLA06608-1010,"6902"
NLA12_NJ-107,"1125"
NLA12_NY-R03,"37368"
NLA12_VT-141,"135"
NLA06608-1101,"68538"
NLA12_NY-R11,"121423"
NLA06608-0421,"119265"
NLA12_VT-171,"12270"
