lagoslakeid,lake_nhdid,lake_glaciatedlatewisc,lake_lat_decdeg,lake_lon_decdeg,lake_huc12,ws_area_ha,ws_lake_arearatio
19511,122232033,Glaciated,41.1461354082,-73.7290129664,011000060403,102.8062321,6.447629368
18426,122961303,Glaciated,41.9771712769,-73.5048777736,011000050501,204.4360561,7.892082969
71592,61790779,Glaciated,41.8275297889,-74.4766301619,020200070502,22830.70271,26.61556623
39489,52855683,Glaciated,41.9840775575,-74.145604578,020200060905,2287.329257,1.094890877
12282,53541253,Glaciated,43.3019865189,-74.7624674108,020200040503,1485.716106,9.63952994
116145,53539961,Glaciated,43.5860589805,-74.6311911522,020200040401,357.0560239,9.965975966
69578,120023791,Glaciated,43.6122179057,-74.5494908113,020200010302,780.8234904,4.386176424
126865,47721350,Glaciated,43.4890387411,-74.4546987244,020200020201,370.3441572,3.193294146
39482,89364879,Glaciated,43.7038864526,-74.1272520212,020200010405,2273.035239,17.27955752
6506,89363405,Glaciated,43.8808578705,-73.5830296897,020200010506,928.5539632,5.423471414
53120,53541797,Glaciated,43.2328214171,-74.7867676756,020200040806,234.8285598,5.134947467
110969,53541369,Glaciated,43.2910174741,-74.7443042048,020200040504,138.4080328,10.19057399
43746,53541203,Glaciated,43.3070312133,-74.6311077754,020200040801,524.8508125,10.76131737
16355,53539915,Glaciated,43.6200813308,-74.6202536358,020200040401,108.1966072,13.84788661
74719,33530715,Glaciated,42.4147595736,-74.5615895967,020200050203,982.2811085,64.37201961
87336,53541857,Glaciated,43.2227025266,-74.5665178339,020200040802,76.94295061,3.471260971
26969,53539935,Glaciated,43.5888248775,-74.5635902867,020200040401,186.8150454,4.192339152
57148,53541987,Glaciated,43.1946399924,-74.5508918967,020200040805,149.9412636,3.438983796
101708,53539943,Glaciated,43.5929929743,-74.5522953447,020200040401,39.50182432,8.443853665
113045,47727967,Glaciated,43.1082153109,-74.3538404925,020200040904,146.8909439,18.67075161
113994,47725937,Glaciated,43.2540735763,-74.3145695225,020200020403,139.6579012,4.810165054
104761,89365087,Glaciated,43.680980362,-74.2935528593,020200010205,509.7847561,19.1385561
105870,89362525,Glaciated,43.986846185,-74.2412919932,020200010105,291.0712793,5.93584876
93546,89365105,Glaciated,43.6754179681,-74.1964155685,020200010204,242.8683655,14.91591774
7260,52847331,Glaciated,42.520156054,-74.1499877039,020200060803,1671.866784,45.363036
130000,47720316,Glaciated,43.5729464387,-74.0798173845,020200020102,343.6731035,21.17922902
123519,89363569,Glaciated,43.8576301508,-74.0904548817,020200010404,88.64631785,10.65602657
31111,52852611,Glaciated,42.1975333454,-74.0428224291,020200060701,409.9484635,11.43756101
40543,89363765,Glaciated,43.8393537387,-74.0196507206,020200010402,140.5962575,21.68143334
12291,47727897,Glaciated,43.1194262741,-74.0073310153,020200020602,1489.821907,51.68345484
36273,89363491,Glaciated,43.8708306965,-73.9767236372,020200010602,528.6827033,7.715626013
107839,89364173,Glaciated,43.7935594581,-73.9771312641,020200010602,660.422697,20.697145
56146,89361863,Glaciated,44.1331523016,-73.9667666888,020200010102,116.6223859,20.5076891
10239,37099709,Glaciated,41.4216355852,-73.8840250142,020200080505,14.41179483,1.901278918
7104,89366321,Glaciated,43.3230529966,-73.8325529147,020200010705,864.6864867,20.58918752
9388,89364809,Glaciated,43.70994605,-73.8002648898,020200010605,152.3059065,9.938983828
13290,37097927,Glaciated,41.6087640647,-73.7417741648,020200080303,172.9443417,3.580504476
7061,52854143,Glaciated,42.0905797179,-73.7068703044,020200061006,515.8252987,6.284223387
83141,50520953,Glaciated,43.231255023,-73.7115864355,020200030504,317.0057332,8.577806834
122464,89363631,Glaciated,43.8530742986,-73.6529240288,020200010507,289.0714745,4.408327504
118192,89362149,Glaciated,44.0427114714,-73.6263177534,020200010504,397.6644549,38.19512647
7168,52849111,Glaciated,42.4090478457,-73.4154319156,020200060606,339.2941799,5.93421845
6501,52845369,Glaciated,42.6537142266,-73.4208648982,020200060602,36.16718774,3.456736444
6494,50524071,Glaciated,42.8173011789,-73.399472103,020200031003,67.69409423,3.471751102
7169,53542311,Glaciated,43.1375400333,-74.4984363482,020200040904,1754.830518,7.844935475
6788,89364961,Glaciated,43.7162400082,-73.7026958068,020200010606,7244.288444,11.75951165
20575,53541175,Glaciated,43.3179027495,-74.7830667336,020200040503,228.0530442,37.23562901
122446,53540953,Glaciated,43.3472892137,-74.7126886101,020200040801,225.0259528,12.6951586
135207,89365939,Glaciated,43.4949339989,-74.5661251729,020200010201,96.55355653,17.96994575
