lagoslakeid,lake_nhdid,lake_nets_upstreamlake_km,lake_nets_downstreamlake_km,lake_nets_bidirectionallake_km,lake_nets_upstreamlake_n,lake_nets_downstreamlake_n,lake_nets_lakeorder,lake_nets_lnn,net_id,net_lakes_n,net_averagelakedistance_km,net_averagelakearea_ha,lake_nets_nearestdamdown_km,lake_nets_nearestdamdown_id,lake_nets_totaldamdown_n,lake_nets_nearestdamup_km,lake_nets_nearestdamup_id,lake_nets_totaldamup_n,lake_nets_damonlake_flag,lake_nets_multidam_flag,net_dams_n,nhdplusv2_comid
19511,122232033,NA,4.906,4.214,0,1,0,1,230,23,4.242,7.286,0,33342,1,NA,NA,0,Y,N,10,7731055
71592,61790779,5.1,8.042,5.1,1,1,3,2,10,2659,463.991,24.86,0,32589,1,NA,NA,0,Y,N,1099,6199522
12282,53541253,1.529,2.899,1.529,5,1,3,3,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22739129
116145,53539961,0.134,54.129,0.134,6,1,3,3,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22738079
69578,120023791,NA,13.272,13.272,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22305331
126865,47721350,NA,6.103,6.103,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22294884
39482,89364879,2.185,NA,2.185,3,0,2,2,10,2659,463.991,24.86,85.857,32766; 32767,15,NA,NA,0,N,N,1099,22305295
6506,89363405,0.796,4.664,0.796,1,1,2,2,10,2659,463.991,24.86,NA,NA,0,0.796,32790,1,N,N,1099,22303741
53120,53541797,NA,10.883,10.883,0,1,0,1,10,2659,463.991,24.86,0,33313,1,NA,NA,0,Y,N,1099,22739201
110969,53541369,NA,37.583,12.858,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22739155
43746,53541203,1.497,35.195,1.497,1,1,1,2,10,2659,463.991,24.86,35.195,33305,1,NA,NA,0,N,N,1099,22739133
16355,53539915,NA,4.569,4.569,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22738071
74719,33530715,NA,13.838,13.838,0,1,1,1,10,2659,463.991,24.86,0,33482,1,NA,NA,0,Y,N,1099,3247332
87336,53541857,0.476,1.607,0.476,1,1,1,2,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22739225
26969,53539935,NA,5.022,3.312,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22738083
57148,53541987,NA,4.426,4.426,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22739245
113045,47727967,NA,1.111,1.111,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22739315
113994,47725937,NA,21.334,6.952,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22295318
104761,89365087,NA,2.252,2.252,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22305303
105870,89362525,NA,1.535,1.535,0,1,0,1,10,2659,463.991,24.86,0,33293,1,NA,NA,0,N,N,1099,22305077
93546,89365105,NA,3.035,3.035,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22305309
7260,52847331,0.518,NA,0.518,1,0,2,2,10,2659,463.991,24.86,0,32568,2,NA,NA,0,Y,N,1099,6186640
130000,47720316,NA,27.28,13.714,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22293992
123519,89363569,NA,3.061,3.061,0,2,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22305153
31111,52852611,NA,NA,36.81,0,0,0,1,10,2659,463.991,24.86,0,33069,1,NA,NA,0,N,N,1099,6189488
40543,89363765,NA,1.079,1.079,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22305189
12291,47727897,0.046,27.403,0.046,2,1,2,2,10,2659,463.991,24.86,0,33280,1,5.353,32776,1,Y,N,1099,22295502
36273,89363491,NA,0.09,0.09,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22303759
107839,89364173,1.671,18.917,1.671,1,1,1,2,10,2659,463.991,24.86,0,33288,2,NA,NA,0,N,N,1099,22303857
56146,89361863,NA,0.917,0.917,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22302757
7104,89366321,2.635,NA,2.635,1,0,1,5,10,2659,463.991,24.86,0,33725,16,NA,NA,0,N,N,1099,22306989
9388,89364809,1.021,NA,1.021,1,0,1,2,10,2659,463.991,24.86,5.745,32792,17,NA,NA,0,N,N,1099,22303953
13290,37097927,NA,NA,13.891,0,0,0,1,10,2659,463.991,24.86,10.661,33538,4,NA,NA,0,N,N,1099,6211146
7061,52854143,1.25,NA,1.25,1,0,1,2,10,2659,463.991,24.86,NA,NA,0,1.25,33517,1,N,N,1099,6187992
122464,89363631,0.185,0.116,0.116,2,1,2,3,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22303775
118192,89362149,1.767,42.415,1.767,1,1,1,2,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22302821
6494,50524071,NA,1.208,1.208,0,1,0,1,10,2659,463.991,24.86,0,33270,1,NA,NA,0,N,N,1099,22289765
7169,53542311,NA,10.149,10.149,0,1,2,1,10,2659,463.991,24.86,0,33734,2,NA,NA,0,Y,N,1099,22739297
6788,89364961,0.524,NA,0.524,9,0,2,4,10,2659,463.991,24.86,0,33721; 32794,18,1.284,32793,1,N,N,1099,22303899
20575,53541175,NA,1.529,1.529,0,1,1,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22739123
122446,53540953,NA,5.6,5.6,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22739085
135207,89365939,NA,28.548,4.207,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22307255
21660,89365713,NA,23.84,10.641,0,1,2,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22305373
130001,53542025,NA,2.223,2.223,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22739255
140316,53543175,NA,82.48,18.232,0,1,2,1,10,2659,463.991,24.86,0,32808,11,NA,NA,0,N,N,1099,22739365
23851,89363899,NA,3.552,3.552,0,1,1,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22305209
77869,89365529,NA,12.472,12.472,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22305339
115073,89362401,NA,4.912,4.912,0,1,1,1,10,2659,463.991,24.86,0,33286,1,NA,NA,0,Y,N,1099,22303239
52056,47719631,NA,4.802,3.587,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22293940
44781,89362093,0.762,1.469,0.762,1,1,2,2,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22303199
16358,89365099,NA,0.992,0.992,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22305307
80022,89363513,0.22,NA,0.22,1,0,2,5,10,2659,463.991,24.86,114.187,32766; 32767,15,NA,NA,0,N,N,1099,22305123
62312,47724367,NA,7.783,7.783,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22295184
47842,47719887,0.08,35.667,0.08,1,1,1,2,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22293960
31099,89364017,NA,NA,5.247,0,0,0,1,10,2659,463.991,24.86,95.375,32766; 32767,15,NA,NA,0,N,N,1099,22305219
23861,89364113,1.491,NA,1.491,1,0,1,2,10,2659,463.991,24.86,92.494,32766; 32767,15,NA,NA,0,N,N,1099,22305229
68559,89363427,NA,NA,14.811,0,0,0,1,10,2659,463.991,24.86,119.064,32766; 32767,15,NA,NA,0,N,N,1099,22305135
111991,37100725,0.622,NA,0.622,2,0,2,3,10,2659,463.991,24.86,0,32627,1,0.622,32626,1,N,N,1099,6216462
140328,89363919,NA,NA,10.063,0,0,0,1,10,2659,463.991,24.86,90.215,32766; 32767,15,NA,NA,0,N,N,1099,22305211
7173,47725865,NA,0.549,0.549,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22294636
35220,50523421,8.276,NA,8.276,1,0,2,2,10,2659,463.991,24.86,12.895,33271,3,NA,NA,0,N,N,1099,22289687
12262,89362625,0.976,27.441,0.976,1,1,1,2,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22303677
118176,89365619,NA,NA,24.104,0,0,0,1,10,2659,463.991,24.86,19.777,32803,16,NA,NA,0,N,N,1099,22304029
23837,50522151,6.188,3.018,3.018,1,1,2,2,10,2659,463.991,24.86,NA,NA,0,6.188,33259,1,N,N,1099,22287857
105851,89363847,NA,3.139,3.139,0,1,1,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22303825
36266,89363979,NA,3.418,3.418,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22303839
53130,89362515,6.225,27.514,6.225,2,1,3,3,10,2659,463.991,24.86,0,33289,1,NA,NA,0,Y,N,1099,22303659
13292,89363729,0.992,0.737,0.737,1,1,1,2,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22303803
48885,52854197,1.235,0.481,0.481,1,1,1,2,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,6188008
129992,89361945,4.045,4.3,4.045,1,1,1,2,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22302789
7236,53541487,28.227,183.429,28.227,2,1,4,3,10,2659,463.991,24.86,0,32818,19,NA,NA,0,N,N,1099,22742027
90475,52844435,0.12,NA,0.12,6,0,4,3,10,2659,463.991,24.86,0,32561,1,16.626,32566,1,Y,N,1099,6185528
76808,47722841,NA,1.446,1.446,0,1,1,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22295040
6409,47727981,2.405,8.346,2.405,3,1,2,3,10,2659,463.991,24.86,0,32811,2,NA,NA,0,Y,N,1099,22739299
106853,47721785,1.105,21.558,1.105,1,1,2,3,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22294886
9389,89361951,1.241,3.535,1.241,2,1,3,3,10,2659,463.991,24.86,0,33285,1,NA,NA,0,Y,N,1099,22303181
7339,52853317,NA,0.271,0.271,0,1,0,1,10,2659,463.991,24.86,0,33062,1,NA,NA,0,N,N,1099,6187894
7135,89365393,1.954,0.184,0.184,1,1,1,2,10,2659,463.991,24.86,0,33720,1,NA,NA,0,N,N,1099,22304007
6521,50521223,NA,3.124,3.124,0,1,0,1,10,2659,463.991,24.86,3.124,32759,1,NA,NA,0,N,N,1099,22287717
84223,53542879,15.68,0.986,0.986,27,1,4,8,10,2659,463.991,24.86,0,32816,1,1.913,33305,2,Y,N,1099,22739327
14309,53539965,NA,1.114,1.114,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22738087
91505,33530021,NA,143.707,20.001,0,1,0,1,10,2659,463.991,24.86,0,33006,11,NA,NA,0,N,N,1099,3245554
46782,53541845,0.272,4.715,0.272,2,2,2,2,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22739213
41647,53541779,NA,0.272,0.272,0,1,1,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22739203
106849,53542093,NA,0.965,0.965,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22739263
101699,47726265,NA,68.781,6.25,0,1,1,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22295348
16344,47727911,0.78,2.405,0.78,3,1,2,2,10,2659,463.991,24.86,0,33308,1,NA,NA,0,Y,N,1099,22739303
40564,89365531,0.22,2.513,0.22,1,1,1,2,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22305345
30024,37100731,NA,17.034,8.35,0,1,0,1,10,2659,463.991,24.86,0,33565,1,NA,NA,0,N,N,1099,6216468
6552,52843955,NA,8.238,8.238,0,1,2,1,10,2659,463.991,24.86,NA,NA,0,0,32563,1,N,N,1099,6186458
96580,47719461,NA,40.626,3.544,0,1,1,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22293922
54148,33530171,0.883,137.631,0.883,1,1,2,3,10,2659,463.991,24.86,82.135,33320,10,NA,NA,0,N,N,1099,3245602
92523,33529737,1.174,137.47,1.174,1,1,1,3,10,2659,463.991,24.86,0,32516,11,NA,NA,0,Y,N,1099,3245524
10240,89363519,NA,NA,7.181,0,0,0,1,10,2659,463.991,24.86,97.075,32766; 32767,15,NA,NA,0,N,N,1099,22305143
6976,47725761,0.549,0.696,0.549,1,1,1,2,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22294630
96590,89362911,NA,13.576,13.576,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22303709
38396,89363809,NA,3.898,3.898,0,1,0,1,10,2659,463.991,24.86,0,33292,1,NA,NA,0,Y,N,1099,22303817
127876,89363607,0.116,6.998,0.116,1,1,2,4,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22303781
7178,52845231,NA,9.683,9.683,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,6185596
33144,52853965,NA,NA,14.611,0,0,0,1,10,2659,463.991,24.86,42.6,33520,1,NA,NA,0,N,N,1099,6187976
42715,52845905,NA,NA,11.654,0,0,1,1,10,2659,463.991,24.86,0,32559,3,NA,NA,0,N,N,1099,6185644
6725,50521665,NA,0.435,0.435,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22287813
133079,33530693,5.099,142.075,5.099,3,1,3,4,10,2659,463.991,24.86,0,33009,11,5.099,32519,2,N,N,1099,3247302
7039,37098607,NA,5.574,5.574,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,6213032
6536,52851237,NA,NA,5.514,0,0,2,1,10,2659,463.991,24.86,0,32574,1,NA,NA,0,N,N,1099,6187646
7334,37098461,0.513,NA,0.513,1,0,2,2,10,2659,463.991,24.86,0,32604,5,NA,NA,0,N,N,1099,6211278
6889,89365151,2.977,2.758,2.758,1,1,2,2,10,2659,463.991,24.86,0,33290,1,NA,NA,0,Y,N,1099,22303965
6543,50522921,3.018,NA,3.018,6,0,4,5,10,2659,463.991,24.86,20.76,32760; 33260,7,40.201,33711,1,N,N,1099,120052919
39479,53542147,10.883,15.784,10.883,1,1,3,2,10,2659,463.991,24.86,0,32812,2,NA,NA,0,Y,N,1099,22739259
52046,53540341,NA,0.536,0.536,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22738949
53122,53541299,0.857,38.23,0.857,1,1,1,2,10,2659,463.991,24.86,38.23,33305,1,NA,NA,0,N,N,1099,22739147
37367,53541201,NA,37.944,9.584,0,1,1,1,10,2659,463.991,24.86,37.944,33305,1,NA,NA,0,N,N,1099,22739131
9401,89365755,NA,25.246,7.655,0,1,1,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22305379
40560,47725927,NA,56.737,2.636,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22295316
97636,47724970,NA,0.27,0.27,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22295238
110982,33530637,NA,8.974,8.755,0,1,0,1,10,2659,463.991,24.86,3.274,33010,1,NA,NA,0,N,N,1099,3247310
62300,89365527,NA,0.22,0.22,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22305337
39487,47727871,NA,1.458,1.458,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22739307
101682,89363973,NA,NA,2.826,0,0,1,1,10,2659,463.991,24.86,114.635,32766; 32767,15,NA,NA,0,N,N,1099,22305215
23857,89362643,4.912,4.317,4.317,1,1,3,2,10,2659,463.991,24.86,0,33300,1,7.47,33301,1,N,N,1099,22305083
123518,61759195,NA,NA,35.431,0,0,0,1,10,2659,463.991,24.86,34.525,33079,1,NA,NA,0,N,N,1099,6199582
77874,33530195,1.72,0.883,0.883,2,1,2,2,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,3245604
111997,89364923,NA,3.485,3.485,0,1,1,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22305297
14326,47722387,NA,24.06,5.353,0,1,0,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22295010
90473,89364117,NA,NA,5.247,0,0,0,1,10,2659,463.991,24.86,94.823,32766; 32767,15,NA,NA,0,N,N,1099,22305231
81028,47723267,NA,0.437,0.437,0,1,1,1,10,2659,463.991,24.86,NA,NA,0,NA,NA,0,N,N,1099,22295084
84234,33530265,NA,137.934,4.112,0,1,0,1,10,2659,463.991,24.86,0,33479,11,NA,NA,0,N,N,1099,3245614
107840,89363769,NA,NA,7.685,0,0,1,1,10,2659,463.991,24.86,91.788,32766; 32767,15,NA,NA,0,N,N,1099,22305187
