varname,pass_boruta,pass_importance,pass_correlation,avg_incRMSE,sd_incRMSE
lagoslakeid,FALSE,FALSE,FALSE,NA,NA
perimeter,TRUE,FALSE,FALSE,5.299492026248549,1.8640862425975775
area,TRUE,TRUE,FALSE,7.9559758444694895,2.5756330817668043
bbox_lw,FALSE,FALSE,FALSE,-Inf,NA
sdi,FALSE,FALSE,FALSE,2.5959625658945726,1.050667241184569
dist_pole,TRUE,TRUE,TRUE,10.571488684266233,2.0810943419659327
dev50_min,FALSE,FALSE,FALSE,2.130359033227356,0.9984861627505395
dev50_max,TRUE,FALSE,FALSE,3.4548121482685756,0.8550923848721312
dev50_median,TRUE,TRUE,TRUE,5.915159196800453,0.7502213777471002
dev50_stdDev,TRUE,FALSE,FALSE,3.9339718442054132,0.9548739646519231
dev100_min,TRUE,FALSE,FALSE,3.0287326393883167,0.71761530073156
dev100_max,FALSE,FALSE,FALSE,2.8821240592466504,1.0050878932881153
dev100_median,TRUE,FALSE,FALSE,5.159518363402685,0.9848644387701696
dev100_stdDev,TRUE,FALSE,FALSE,4.225256217546185,0.7447910912426333
dev500_min,FALSE,FALSE,FALSE,2.9531748618010143,0.9235403027829017
dev500_max,TRUE,FALSE,FALSE,4.599720992692768,0.983070063128147
dev500_median,TRUE,TRUE,FALSE,5.405810102238574,1.6714649426885249
dev500_stdDev,TRUE,FALSE,FALSE,3.638139166969442,0.8321404780199342
dev1000_min,TRUE,FALSE,FALSE,3.369777328824856,1.0063972303823292
dev1000_max,TRUE,FALSE,FALSE,4.077948865365162,0.8039826366420721
dev1000_median,TRUE,FALSE,FALSE,4.448524080368281,1.258477373636939
dev1000_stdDev,TRUE,FALSE,FALSE,4.082025851407794,1.1578970082003532
relief50_min,TRUE,FALSE,FALSE,3.7678394484485125,1.1711452453582898
relief50_max,TRUE,FALSE,FALSE,3.524022747614732,1.1680441580201315
relief50_median,TRUE,FALSE,FALSE,4.617333944306455,1.3254361899933578
relief50_stdDev,TRUE,FALSE,FALSE,3.763765714001024,1.0585667788040165
relief100_min,TRUE,FALSE,FALSE,5.112408116203951,1.1586140175201882
relief100_max,TRUE,FALSE,FALSE,4.110796248534884,0.7756867208938206
relief100_median,TRUE,FALSE,FALSE,4.4280973815388815,1.1769957839471699
relief100_stdDev,FALSE,FALSE,FALSE,2.985062613628519,0.8624017421194807
relief500_min,TRUE,FALSE,FALSE,3.8873310611897662,0.8521462401434194
relief500_max,TRUE,FALSE,FALSE,4.045466425707453,0.9037602737436222
relief500_median,TRUE,FALSE,FALSE,3.6984404115612417,0.7605474561723085
relief500_stdDev,FALSE,FALSE,FALSE,2.705971359586562,0.5732305396065468
relief1000_min,TRUE,FALSE,FALSE,4.118018113705832,0.8631580769620213
relief1000_max,TRUE,FALSE,FALSE,3.7339005340147042,0.8888026217573763
relief1000_median,TRUE,FALSE,FALSE,3.7274238466189273,0.7965736026127618
relief1000_stdDev,FALSE,FALSE,FALSE,-Inf,NA
slope_min,FALSE,FALSE,FALSE,3.013442860797876,0.9955078524768308
slope_max,TRUE,FALSE,FALSE,3.5459110351994543,0.8067231023261743
slope_median,TRUE,FALSE,FALSE,4.768102609272024,1.1830769706119488
slope_stdDev,TRUE,FALSE,FALSE,3.70226845704944,1.0824341772442647
tri_min,TRUE,FALSE,FALSE,4.354670564238438,1.2811375835411276
tri_max,TRUE,FALSE,FALSE,3.1215031678444003,0.7476676048323183
tri_median,TRUE,FALSE,FALSE,4.82637948183001,1.4062114006829418
tri_stdDev,FALSE,FALSE,FALSE,2.860187973553784,0.7900059331566931
elev_min,TRUE,FALSE,FALSE,4.56701913777329,1.0388587246317555
elev_max,TRUE,FALSE,FALSE,4.802498952245074,0.5246333317207337
elev_median,TRUE,FALSE,FALSE,4.779549650473319,0.9375209344963743
elev_stdDev,TRUE,FALSE,FALSE,3.781155898664831,1.1751975634170186
Aspect_max,FALSE,FALSE,FALSE,-Inf,NA
Aspect_median,FALSE,FALSE,FALSE,2.5368483094895637,0.9960834107421744
Aspect_min,FALSE,FALSE,FALSE,2.119571620221609,0.8585737031503045
Eastness_max,FALSE,FALSE,FALSE,2.360144689074621,0.7524714865678176
Eastness_median,FALSE,FALSE,FALSE,2.4199128815563213,0.6853678883513793
Eastness_min,FALSE,FALSE,FALSE,2.847324401520062,0.9885055652696509
GaussianCurvature_max,TRUE,FALSE,FALSE,3.2544623456415027,0.8275905705030284
GaussianCurvature_median,TRUE,FALSE,FALSE,5.371531618336883,1.1943728032558536
GaussianCurvature_min,TRUE,FALSE,FALSE,4.219038460790006,0.8751883316868468
Hillshade_max,TRUE,FALSE,FALSE,3.8911393059462664,0.9728752017099522
Hillshade_median,TRUE,FALSE,FALSE,4.737024623514093,1.0990421123122311
Hillshade_min,FALSE,FALSE,FALSE,2.813512693108152,0.593970741848674
HorizontalCurvature_max,TRUE,FALSE,FALSE,4.221906121984481,0.7432919432065778
HorizontalCurvature_median,TRUE,FALSE,FALSE,4.710473399051003,0.7299975194171626
HorizontalCurvature_min,TRUE,FALSE,FALSE,4.798848490141919,0.8205256609302481
MaximalCurvature_max,TRUE,FALSE,FALSE,3.608885015362078,1.0834103305198064
MaximalCurvature_median,TRUE,TRUE,TRUE,6.756231031589359,1.9819330235494128
MaximalCurvature_min,TRUE,FALSE,FALSE,4.35211117742164,0.8309970663973391
MeanCurvature_max,TRUE,FALSE,FALSE,3.704895450368227,0.903828996072725
MeanCurvature_median,TRUE,FALSE,FALSE,5.0834073145364185,1.70143085674151
MeanCurvature_min,TRUE,FALSE,FALSE,4.661711219507952,0.739043840462355
MinimalCurvature_max,TRUE,FALSE,FALSE,3.955434329377933,0.8284985605564793
MinimalCurvature_median,TRUE,FALSE,FALSE,3.8265642869883707,0.8330066618066064
MinimalCurvature_min,FALSE,FALSE,FALSE,2.6416142766839195,0.6187372315499664
Northness_max,FALSE,FALSE,FALSE,-Inf,NA
Northness_median,TRUE,FALSE,FALSE,3.945432177690348,0.9546169781459174
Northness_min,FALSE,FALSE,FALSE,1.9629766890035731,0.9958719572792909
ShapeIndex_max,TRUE,FALSE,FALSE,3.50965338006056,0.7908247789755677
ShapeIndex_median,TRUE,FALSE,FALSE,5.233116760181857,1.1590922631038258
ShapeIndex_min,FALSE,FALSE,FALSE,-Inf,NA
VerticalCurvature_max,TRUE,FALSE,FALSE,3.898472908780039,0.8857210973865091
VerticalCurvature_median,TRUE,FALSE,FALSE,4.591297242040234,1.231580938977705
VerticalCurvature_min,FALSE,FALSE,FALSE,2.668092114974036,0.7097094992036654
lake_glaciatedlatewisc,FALSE,FALSE,FALSE,2.253286007741418,0.6969500428565079
lake_connectivity_class,FALSE,FALSE,FALSE,2.63243830446309,0.5976096297735131
lake_lakes4ha_upstream_ha,FALSE,FALSE,FALSE,-Inf,NA
lake_lakes4ha_upstream_n,FALSE,FALSE,FALSE,-Inf,NA
lake_lakes1ha_upstream_ha,FALSE,FALSE,FALSE,-Inf,NA
lake_lakes1ha_upstream_n,FALSE,FALSE,FALSE,-Inf,NA
lake_lakes10ha_upstream_n,FALSE,FALSE,FALSE,-Inf,NA
lake_lakes10ha_upstream_ha,FALSE,FALSE,FALSE,-Inf,NA
lake_lat_decdeg,TRUE,FALSE,FALSE,4.27185294429522,1.6107713388573266
lake_lon_decdeg,TRUE,FALSE,FALSE,4.874730382314464,2.0542661710586887
lake_huc12,FALSE,FALSE,FALSE,4.308884046114472,2.4151182205863635
lake_elevation_m,TRUE,FALSE,FALSE,4.287533280338254,0.9474085431780043
ws_area_ha,TRUE,FALSE,FALSE,4.9077645887439765,0.6462426153253712
ws_lake_arearatio,TRUE,TRUE,TRUE,6.846682099579965,1.059365300852245
t_anomaly_month_1,TRUE,FALSE,FALSE,3.6338214676369835,1.0723782387054903
t_anomaly_month_10,TRUE,TRUE,TRUE,13.616410270342923,1.6608228863397831
t_anomaly_month_11,TRUE,TRUE,TRUE,17.269355386181964,1.5176951458063743
t_anomaly_month_12,TRUE,TRUE,TRUE,7.198761401761069,1.2198548073609619
t_anomaly_month_2,TRUE,FALSE,FALSE,4.196036472568027,1.1379756503921994
t_anomaly_month_3,TRUE,FALSE,FALSE,4.573562004347311,1.2697405917647397
t_anomaly_month_4,TRUE,FALSE,FALSE,4.851759170631595,1.457845876657532
t_anomaly_month_5,TRUE,TRUE,TRUE,12.898489363169851,1.7294267197590085
t_anomaly_month_6,TRUE,TRUE,TRUE,6.954771225642301,1.0973477391676407
t_anomaly_month_7,TRUE,TRUE,TRUE,5.902141364332761,1.32541848684736
t_anomaly_month_8,FALSE,FALSE,FALSE,-Inf,NA
t_anomaly_month_9,TRUE,FALSE,FALSE,3.223786846145202,0.9919880708221255
B1_B2_ratio,TRUE,TRUE,FALSE,5.479634532931435,2.0450294644063303
B1_B3_ratio,TRUE,TRUE,FALSE,6.375254991316439,1.9449270108016135
B1_B4_ratio,TRUE,TRUE,FALSE,9.550939632980674,2.5476047599137415
B1_B5_ratio,TRUE,FALSE,FALSE,5.263752555938145,1.2833197222573907
B2_B3_ratio,TRUE,TRUE,FALSE,7.306922160977161,1.7654299470421722
B2_B4_ratio,TRUE,TRUE,TRUE,11.092221985386404,2.542411630091124
B2_B5_ratio,TRUE,FALSE,FALSE,4.486627008641342,1.3626068943228637
B3_B4_ratio,TRUE,TRUE,FALSE,7.342156446885271,1.489912737509621
B3_B5_ratio,TRUE,TRUE,TRUE,5.255429581074181,1.5527676754341007
B4_B5_ratio,TRUE,FALSE,FALSE,5.171652753354023,2.0507292759531417
lake_huc02,FALSE,FALSE,FALSE,3.3261944282595484,1.2048177025552749
lake_huc04,TRUE,FALSE,FALSE,3.978759853575999,1.6694014647653028
lake_huc06,TRUE,FALSE,FALSE,3.8070992714031537,1.7249979844413534
huc4_slope_min,FALSE,FALSE,FALSE,2.88903014358252,1.2081658636095136
huc4_slope_max,TRUE,FALSE,FALSE,4.829833116750265,1.387741517500514
huc4_slope_median,TRUE,FALSE,FALSE,4.899296456304849,1.049318703335123
huc4_slope_sd,TRUE,FALSE,FALSE,4.246163529034769,1.1208463220325844
huc4_tri_min,FALSE,FALSE,FALSE,2.823786288677927,0.9880347423713887
huc4_tri_max,TRUE,FALSE,FALSE,4.921764191593893,1.4295904062239222
huc4_tri_median,TRUE,FALSE,FALSE,4.925741493005628,1.1452188808939832
huc4_tri_sd,TRUE,FALSE,FALSE,4.319840061609947,0.8857411814730772
huc4_elev_min,TRUE,FALSE,FALSE,5.134106602245438,1.5746958240739322
huc4_elev_max,TRUE,FALSE,FALSE,4.020749299291328,0.8971476379064148
huc4_elev_median,FALSE,FALSE,FALSE,3.032486575234126,0.9432185820018625
huc4_elev_sd,TRUE,FALSE,FALSE,3.4998798157134363,0.9761327120173734
huc4_min_depth,TRUE,FALSE,FALSE,3.8403344215427864,1.4405151992493255
huc4_max_depth,TRUE,FALSE,FALSE,3.759738659146553,1.0399536690761693
huc4_median_depth,TRUE,TRUE,TRUE,9.480893310266255,2.0640516169620753
huc4_sd_depth,TRUE,FALSE,FALSE,3.7661680920334315,0.9467639717028634
huc4_min_rd,TRUE,FALSE,FALSE,3.8216420366139614,1.050025587256056
huc4_max_rd,TRUE,FALSE,FALSE,5.19208054666328,1.5799516932961601
huc4_median_rd,TRUE,TRUE,TRUE,10.079118990739778,2.0405894591974194
huc4_sd_rd,TRUE,FALSE,FALSE,5.055756004822002,1.6422272409266365
huc4_perimeter_min,FALSE,FALSE,FALSE,3.1005624115423105,1.072851721683566
huc4_perimeter_max,FALSE,FALSE,FALSE,3.1987265280607127,1.4560665861617412
huc4_perimeter_median,TRUE,FALSE,FALSE,4.069883982875537,1.3823008997590414
huc4_perimeter_sd,FALSE,FALSE,FALSE,2.561849384339882,1.2556448125018003
huc4_area_min,TRUE,FALSE,FALSE,3.158601795586348,1.0659490436092156
huc4_area_max,TRUE,FALSE,FALSE,4.469948012476866,1.220868807070898
huc4_area_median,TRUE,FALSE,FALSE,4.247789129850201,1.476779480801261
huc4_area_sd,TRUE,FALSE,FALSE,3.235014598379837,1.1298850922387096
huc4_bbox_lw_min,TRUE,FALSE,FALSE,3.492041660635858,0.9511603846886656
huc4_bbox_lw_max,TRUE,FALSE,FALSE,3.773467493996968,1.1072286739098602
huc4_bbox_lw_median,TRUE,FALSE,FALSE,4.549883173843911,1.364023504037707
huc4_bbox_lw_sd,TRUE,FALSE,FALSE,3.2587616472207723,1.2004379294026826
huc4_sdi_min,TRUE,FALSE,FALSE,5.04103408341044,0.8903805333392776
huc4_sdi_max,FALSE,FALSE,FALSE,2.7321600134674937,1.25984411491764
huc4_sdi_median,TRUE,FALSE,FALSE,4.589619589677418,1.285308301372994
huc4_sdi_sd,TRUE,FALSE,FALSE,3.437692519696667,1.1848545046152634
huc4_dist_pole_min,FALSE,FALSE,FALSE,2.990637658266845,1.1885005817341359
huc4_dist_pole_max,TRUE,FALSE,FALSE,4.5935861666411055,1.135269404251264
huc4_dist_pole_median,TRUE,FALSE,FALSE,4.611181405483076,1.4415598565989616
huc4_dist_pole_sd,TRUE,FALSE,FALSE,3.7102037717542484,1.2734029715922826
linear_term,TRUE,TRUE,TRUE,8.780273728396175,2.735261896621446
quad_term,TRUE,TRUE,TRUE,8.850822526226324,2.468204812634698
logarea,FALSE,FALSE,FALSE,NA,NA
log_elev_change,FALSE,FALSE,FALSE,NA,NA
messager_zmean,TRUE,TRUE,FALSE,7.818179127880867,1.8359558606743365
messager_volume,TRUE,TRUE,TRUE,8.39461571214613,2.522737150693573
maxdepth,FALSE,FALSE,FALSE,NA,NA
oliver_model_group,FALSE,FALSE,FALSE,NA,NA
