varname,pass_boruta,pass_importance,pass_correlation,avg_incRMSE,sd_incRMSE
lagoslakeid,FALSE,FALSE,FALSE,NA,NA
perimeter,TRUE,TRUE,FALSE,5.757444959187072,1.1408056805174729
area,TRUE,TRUE,FALSE,8.187394346483394,1.2497088418969171
bbox_lw,FALSE,FALSE,FALSE,-Inf,NA
sdi,TRUE,FALSE,FALSE,3.942518400899072,1.0940168807852726
dist_pole,TRUE,TRUE,TRUE,10.591463093404663,0.9166083134586711
dev50_min,TRUE,FALSE,FALSE,3.183880828584698,0.8400201996493931
dev50_max,FALSE,FALSE,FALSE,2.9444485385182286,0.7275896826498878
dev50_median,TRUE,FALSE,FALSE,5.625296330388248,1.4931848615148973
dev50_stdDev,FALSE,FALSE,FALSE,2.3317111218337563,0.9645496097974888
dev100_min,FALSE,FALSE,FALSE,2.42232872313512,0.7868856726716947
dev100_max,TRUE,FALSE,FALSE,2.9829664238624116,0.9158417441741125
dev100_median,TRUE,FALSE,FALSE,5.730379554767593,1.4342788500125434
dev100_stdDev,FALSE,FALSE,FALSE,2.897816003118498,1.1049672512303248
dev500_min,FALSE,FALSE,FALSE,2.6387507235008454,1.0054902416185265
dev500_max,TRUE,FALSE,FALSE,4.003842329303346,0.9480988885250512
dev500_median,TRUE,TRUE,TRUE,6.281698836904001,1.3970074735026512
dev500_stdDev,TRUE,FALSE,FALSE,3.323976422773816,0.9727450214554116
dev1000_min,TRUE,FALSE,FALSE,3.115855571086631,0.728287893887754
dev1000_max,TRUE,FALSE,FALSE,3.273941271995508,0.873402715785622
dev1000_median,TRUE,FALSE,FALSE,4.392539189644777,0.9803263925418108
dev1000_stdDev,TRUE,FALSE,FALSE,3.4125990628638765,0.9175137094308585
relief50_min,TRUE,FALSE,FALSE,3.8211787704228546,1.0074639826050429
relief50_max,FALSE,FALSE,FALSE,2.187900674746305,0.8368523434319766
relief50_median,TRUE,FALSE,FALSE,4.639006894728697,0.9704685207742374
relief50_stdDev,FALSE,FALSE,FALSE,2.615840131284369,0.7870360395547179
relief100_min,TRUE,FALSE,FALSE,4.355463112733944,0.8547809485427562
relief100_max,FALSE,FALSE,FALSE,2.86521204735309,0.8522729693981741
relief100_median,TRUE,FALSE,FALSE,4.492410442038589,0.9132281612769826
relief100_stdDev,FALSE,FALSE,FALSE,2.5091706351593963,0.7122067855035187
relief500_min,TRUE,FALSE,FALSE,3.6000060182063103,0.7731827416360305
relief500_max,TRUE,FALSE,FALSE,4.695159564267407,0.9107592272368534
relief500_median,TRUE,FALSE,FALSE,3.917506613185986,0.7854220740644767
relief500_stdDev,FALSE,FALSE,FALSE,2.192231321659702,0.9885370899386202
relief1000_min,TRUE,FALSE,FALSE,4.164401000526367,1.0600772419776057
relief1000_max,TRUE,FALSE,FALSE,3.381027851033052,0.8648369760649061
relief1000_median,TRUE,FALSE,FALSE,4.276146327332213,0.9758747159348483
relief1000_stdDev,FALSE,FALSE,FALSE,-Inf,NA
slope_min,FALSE,FALSE,FALSE,2.860334299819352,0.6676220398760402
slope_max,FALSE,FALSE,FALSE,2.47174776788296,0.749347254261404
slope_median,TRUE,FALSE,FALSE,4.658704142735776,0.79420299419155
slope_stdDev,TRUE,FALSE,FALSE,3.389121133874729,0.9019478726670709
tri_min,TRUE,FALSE,FALSE,3.9638084652885293,1.0842699570917607
tri_max,FALSE,FALSE,FALSE,-Inf,NA
tri_median,TRUE,FALSE,FALSE,4.246188544855207,0.9875600695864876
tri_stdDev,FALSE,FALSE,FALSE,-Inf,NA
elev_min,FALSE,FALSE,FALSE,2.9254076865043412,1.0406156436217737
elev_max,TRUE,FALSE,FALSE,3.506118138017126,1.1185887355952875
elev_median,FALSE,FALSE,FALSE,2.6900558268841688,0.9896166313942062
elev_stdDev,TRUE,FALSE,FALSE,3.2315541655197864,0.8465734643100477
Aspect_max,FALSE,FALSE,FALSE,2.2643083147586203,0.9100150987653621
Aspect_median,FALSE,FALSE,FALSE,-Inf,NA
Aspect_min,FALSE,FALSE,FALSE,2.254349271197876,0.9315295077683081
Eastness_max,FALSE,FALSE,FALSE,2.5900301474393457,0.8106152874665945
Eastness_median,FALSE,FALSE,FALSE,-Inf,NA
Eastness_min,FALSE,FALSE,FALSE,2.3286111935078093,0.9526086588927783
GaussianCurvature_max,FALSE,FALSE,FALSE,2.6304629846008676,0.7927583337514115
GaussianCurvature_median,TRUE,FALSE,FALSE,4.596034899654801,1.0703973735054075
GaussianCurvature_min,FALSE,FALSE,FALSE,2.278053458387942,0.6573061673271643
Hillshade_max,FALSE,FALSE,FALSE,2.798269770931021,0.81653484832893
Hillshade_median,TRUE,FALSE,FALSE,4.737774956474572,0.9860905016136705
Hillshade_min,FALSE,FALSE,FALSE,-Inf,NA
HorizontalCurvature_max,FALSE,FALSE,FALSE,2.6960888673105194,0.7645642070996667
HorizontalCurvature_median,FALSE,FALSE,FALSE,3.2051592752636133,1.050452483061337
HorizontalCurvature_min,TRUE,FALSE,FALSE,3.5598043448744012,0.7987299806568332
MaximalCurvature_max,TRUE,FALSE,FALSE,3.1810371782373466,0.746153577517093
MaximalCurvature_median,TRUE,TRUE,TRUE,7.030439663331112,1.595715021451966
MaximalCurvature_min,FALSE,FALSE,FALSE,2.6734181113040076,0.8548612263469292
MeanCurvature_max,TRUE,FALSE,FALSE,3.3845959012603615,0.6636030710506355
MeanCurvature_median,TRUE,FALSE,FALSE,5.200645715588304,1.502052590358068
MeanCurvature_min,FALSE,FALSE,FALSE,2.514662630474275,0.8684257625744055
MinimalCurvature_max,TRUE,FALSE,FALSE,3.64088997366077,0.7924690712112348
MinimalCurvature_median,TRUE,FALSE,FALSE,3.3905119102578958,0.8419652080715919
MinimalCurvature_min,FALSE,FALSE,FALSE,2.301463813471386,0.8382160867012464
Northness_max,FALSE,FALSE,FALSE,2.4892059166792957,0.7757995784970648
Northness_median,FALSE,FALSE,FALSE,-Inf,NA
Northness_min,FALSE,FALSE,FALSE,2.5750476981302395,0.7369508792102806
ShapeIndex_max,TRUE,FALSE,FALSE,3.289771835585778,0.6662789944435895
ShapeIndex_median,TRUE,FALSE,FALSE,4.230561792744947,1.1261122343185164
ShapeIndex_min,FALSE,FALSE,FALSE,2.0553967313576056,0.9695196848046262
VerticalCurvature_max,TRUE,FALSE,FALSE,3.98208827854626,0.7174072356502893
VerticalCurvature_median,TRUE,FALSE,FALSE,4.353806892828442,1.1892105333514342
VerticalCurvature_min,FALSE,FALSE,FALSE,-Inf,NA
lake_glaciatedlatewisc,FALSE,FALSE,FALSE,-Inf,NA
lake_connectivity_class,FALSE,FALSE,FALSE,2.3168907816729285,1.075639961568696
lake_lakes4ha_upstream_ha,FALSE,FALSE,FALSE,-Inf,NA
lake_lakes4ha_upstream_n,FALSE,FALSE,FALSE,-Inf,NA
lake_lakes1ha_upstream_ha,FALSE,FALSE,FALSE,-Inf,NA
lake_lakes1ha_upstream_n,FALSE,FALSE,FALSE,-Inf,NA
lake_lakes10ha_upstream_n,FALSE,FALSE,FALSE,-Inf,NA
lake_lakes10ha_upstream_ha,FALSE,FALSE,FALSE,-Inf,NA
lake_lat_decdeg,TRUE,FALSE,FALSE,4.923213523354027,0.9275021261079812
lake_lon_decdeg,TRUE,FALSE,FALSE,4.427997310235982,1.2813966336404707
lake_huc12,TRUE,FALSE,FALSE,3.7687464252887017,1.3143902475456102
lake_elevation_m,FALSE,FALSE,FALSE,2.790356614382565,1.0329103484930293
ws_area_ha,TRUE,FALSE,FALSE,3.362560086243196,0.9423130140908194
ws_lake_arearatio,TRUE,TRUE,TRUE,5.8611560949846675,1.2150430709615672
