stat,log_minimum,count,in_model_fitting,minimum,int,slope,facet_label,pred_count
area,4,477661,TRUE,10000,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",544430.5051136145
area,4.122448979591836,369069,TRUE,13257.113655901081,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",417062.7500270262
area,4.244897959183674,285696,TRUE,17575.10624854793,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",319492.26912589406
area,4.36734693877551,221402,TRUE,23299.51810515372,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",244748.08652798246
area,4.489795918367347,171921,TRUE,30888.435964774784,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",187490.06360308806
area,4.612244897959184,133675,TRUE,40949.15062380427,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",143627.36987474214
area,4.73469387755102,103868,TRUE,54286.754393238596,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",110026.21141996485
area,4.857142857142857,80572,TRUE,71968.56730011514,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",84285.93526420681
area,4.979591836734694,62845,TRUE,95409.54763499944,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",64567.51342864986
area,5.1020408163265305,48940,TRUE,126485.52168552957,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",49462.15257967596
area,5.224489795918368,38007,TRUE,167683.293681101,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",37890.642025709145
area,5.346938775510204,29520,TRUE,222299.64825261955,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",29026.248924523556
area,5.469387755102041,23032,TRUE,294705.170255181,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",22235.651907316456
area,5.591836734693878,17752,TRUE,390693.9937054621,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",17033.693090312412
area,5.714285714285714,13735,TRUE,517947.46792312124,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",13048.715706845864
area,5.836734693877551,10604,TRUE,686648.8450042998,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",9996.010888262581
area,5.959183673469388,8184,TRUE,910298.1779915227,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",7657.47648451271
area,6.081632653061225,6301,TRUE,1206792.6406393289,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",5866.03463784912
area,6.204081632653061,4869,TRUE,1599858.7196060573,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",4493.694814739663
area,6.326530612244898,3790,TRUE,2120950.8879201924,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",3442.4094528399
area,6.448979591836735,2903,TRUE,2811768.697974231,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",2637.06889976863
area,6.571428571428571,2225,TRUE,3727593.720314938,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",2020.1351632909189
area,6.6938775510204085,1687,TRUE,4941713.361323838,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",1547.5310782825857
area,6.816326530612245,1288,TRUE,6551285.568595509,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",1185.491189782129
area,6.938775510204081,962,TRUE,8685113.73751352,9.516816709357167,-0.9452185645219758,"Area~(list(m^2,N == 10^9.52%*%A^-0.945))",908.1493617632005
