NLAID,lagoslakeid,lake_glaciatedlatewisc,lake_lat_decdeg,lake_lon_decdeg,lake_huc12,ws_area_ha,ws_lake_arearatio
NLA06608-NELP-1330,7579,Glaciated,46.9528898243,-68.8423674844,010100030205,64.3474867,4.636135158
NLA06608-0401,7585,Glaciated,47.2065244557,-68.2415667156,010100030302,19010.6907,6.853885104
NLA12_ME-R07,8462,Glaciated,46.3530715602,-69.0574360596,010100040202,228.5252179,5.899484596
NLA06608-ELS:1E3-002,81970,Glaciated,46.3748763788,-68.3575705307,010100040506,186.5180502,8.054769069
NLA06608-NELP-3355,7977,Glaciated,46.9437157026,-68.8534196177,010100030205,58.36269797,9.634251272
NLA06608-ELS:1E3-071,22626,Glaciated,46.3453856358,-68.594319349,010100040601,124.7361635,16.44973531
NLA12_ME-104,84101,Glaciated,46.3724109412,-69.2261734509,010100020103,1341.037118,14.84753449
NLA06608-NELP-0955,7821,Glaciated,46.9659729391,-68.855748549,010100030205,393.3946432,3.509667976
NLA06608-EMAP:ME012L,7502,Glaciated,46.9618299268,-68.8903033729,010100030205,732.7809308,6.390483019
NLA06608-ELS:1E3-012,7815,Glaciated,46.9441098047,-68.8714064658,010100030205,67.79813972,6.027733835
NLA06608-NELP-2155,141398,Glaciated,46.9605823612,-68.8419318374,010100030205,85.25523737,3.27868986
NLA12_ME-105,25821,Glaciated,46.1680633886,-69.000746603,010200020108,398.0112749,8.10908813
NLA12_ME-129,34079,Glaciated,45.4463705867,-68.1887932156,010200030702,252.325542,16.03818259
NLA12_ME-113,95465,Glaciated,45.2862256503,-68.8935932092,010200040601,76.32011039,17.15101993
NLA06608-ELS:1E1-052,73542,Glaciated,45.2128504952,-68.2113515337,010200050303,518.8105297,2.830003509
NLA12_ME-135,90380,Glaciated,46.0337722691,-68.0648229729,010200030205,2192.903483,13.3188235
NLA06608-NELP-0253,8249,Glaciated,45.1501838364,-68.0996419154,010200050305,1198.747501,2.56560839
NLA06608-EMAP:ME011L,8360,Glaciated,45.7481056517,-69.2229635561,010200010702,4086.182095,101.9546365
NLA12_ME-115,8063,Glaciated,45.7784108294,-69.1245470019,010200010903,95.13562794,27.94513224
NLA12_ME-120,98543,Glaciated,45.3334704084,-69.2672896099,010200040308,404.7069832,17.53894706
