NLAID,area,perimeter,SDI,bbox_lw_rat,dist_pole
NLA06608-0401,26771775.4770508,53325.0228748118,2.907,2.541,967.276096808416
NLA06608-NELP-0955,1029843.32275391,5948.07865801875,1.653,3.692,308.75154352018495
NLA06608-NELP-1330,124546.922851563,2075.12183545933,1.659,1.511,119.62315597308482
NLA06608-EMAP:ME012L,1135653.08398438,6128.64198377436,1.622,2.131,332.35563593416344
NLA06608-NELP-3355,66907.8984375,1075.76372046624,1.173,2.018,101.97894319406974
NLA06608-ELS:1E3-012,120640.966796875,1285.73860723781,1.044,1.005,174.50844868657754
NLA06608-ELS:1E3-002,233906.055175781,2326.66253359027,1.357,2.48,171.33964605835948
NLA06608-ELS:1E3-071,75910.0283203125,1025.8002456686,1.05,1.033,138.79378604968647
NLA06608-EMAP:ME254L,389933.504394531,2773.74827345875,1.253,2.015,254.0244466728833
NLA06608-NELP-3586,874254.434082031,4811.1758087657,1.452,2.299,293.93386922572006
NLA06608-EMAP:ME011L,432812.698730469,3277.63431872262,1.405,3.314,189.45760527828142
NLA06608-0657,472752.630859375,3340.42341086743,1.371,2.786,239.37125010965428
NLA06608-ELS:1E1-052,1819077.46240234,7457.74266528098,1.56,1.941,452.9017275763781
NLA06608-NELP-0253,4761451.44873047,11462.5357428734,1.482,1.629,818.7334928951598
NLA06608-0918,2828828.77783203,10735.3180762498,1.801,2.75,521.5035041573122
NLA06608-1174,2727758.88769531,23281.2335534762,3.976,8.802,284.78461131147924
NLA06608-0150,18879213.2802734,46674.2790248569,3.03,1.017,1537.071655060871
NLA06608-0358,131074.314941406,1502.31622907349,1.171,1.233,160.69341698974046
NLA06608-0102,515525.836425781,3989.09232968979,1.567,1.928,269.9286261043836
NLA06608-EMAP:ME518L,6255062.35400391,17652.9447948923,1.991,1.959,678.3998479052715
NLA06608-ELS:1E1-096,897505.760742188,5651.51943851404,1.683,3.146,246.9335126462125
NLA06608-0914,834465.703125,7084.78046800403,2.188,2.769,231.28480191740334
NLA06608-1558,1039487.28320313,6052.48520464234,1.675,2.382,373.9334125990967
NLA06608-ELS:1E1-128,118922.384765625,1549.9166904852,1.268,2.181,133.6343781573807
NLA06608-ACAD_LAKES_,73882.06640625,1476.29035369721,1.532,3.764,82.77833831141314
NLA06608-EMAP:ME263L,6223778.73046875,24930.9366180608,2.819,2.601,630.6470356439
NLA06608-1238,5370271.60351563,14101.399183425,1.717,3.942,557.0395062278675
NLA06608-0930,16695013.9804688,43118.6136795375,2.977,2.671,989.4090710440659
NLA06608-0050,119790.986328125,1372.4622856279,1.119,1.156,163.81472399244518
NLA06608-0994,3008289.28857422,24695.0573268899,4.016,3.925,242.18710165046485
NLA06608-0354,219604.3828125,2451.01759578087,1.475,1.705,178.81602714868137
NLA06608-0546,65794.1420898438,1763.36842233564,1.939,4.915,65.25246430921439
NLA06608-0610,663509.225097656,5209.02034902802,1.804,2.905,248.4138063224513
NLA06608-0662,1408572.46972656,6321.5441079248,1.503,2.241,393.13365330461
NLA06608-9999,2980777.06787109,9783.8600786239,1.599,2.683,580.0862826471365
NLA06608-0982,821599.262695313,5076.46363789512,1.58,3.26,308.0399991795515
NLA06608-0802,120794.034179688,1727.01933461043,1.402,2.157,131.3478945071975
NLA06608-0162,533691.612304688,3016.79981169925,1.165,1.147,335.86875624268566
NLA06608-0674,255511.016601563,2477.86941223045,1.383,1.888,205.52804987397477
NLA06608-0582,211105.380371094,2457.24211301393,1.509,2.278,142.68504353347018
NLA06608-0357,584635.651611328,5075.88384458937,1.873,2.438,257.30690778923696
NLA06608-0134,999845.244873047,5007.65937028094,1.413,2.295,338.4346890537751
NLA06608-0198,650721.839355469,3220.26035852365,1.126,1.886,315.76840064769283
NLA06608-1222,184459.822265625,2646.56824070356,1.738,2.836,115.56718645166507
NLA06608-1122,43500.2739257813,1110.19815786911,1.502,3.131,72.1662729739888
NLA06608-0690,243419.049804688,2422.69427074501,1.385,2.445,157.19473764315205
NLA06608-0454,2024299.83447266,12369.9437052257,2.453,2.279,388.7782278520894
NLA06608-1906,506095.727539063,6377.38894340308,2.529,1.95,179.72307088388445
NLA06608-2354,216733.29296875,1860.98221739403,1.128,1.421,209.14416907008209
NLA06608-1586,638747.402832031,4387.06856960551,1.548,2.016,271.9369255126791
NLA06608-2418,637953.532226563,5982.37333446506,2.113,1.647,225.39900952226895
NLA06608-2162,569106.580566406,2994.71305900827,1.12,1.662,319.749229671573
NLA06608-2566,692581.31640625,3199.48048990447,1.085,1.042,399.37063273155627
NLA06608-0498,367322.546875,2872.67155832002,1.337,2.404,230.87354511664813
NLA06608-4413,821345.007324219,7215.80708278194,2.246,1.383,189.30427994682728
NLA06608-0242,3201373.30566406,17663.8016622209,2.785,2.621,423.75497888714403
NLA06608-3890,1649231.68896484,9031.93574710022,1.984,3.143,426.9431068279758
NLA06608-1414,194602.004394531,2788.74160180607,1.783,2.736,150.99978855956428
NLA06608-0326,673890.798828125,9888.52690877842,3.398,2.988,146.89826512739205
NLA06608-0101,614150.348144531,4569.68933004626,1.645,1.229,294.73739209012376
NLA06608-1125,688081.765136719,4417.17162610753,1.502,2.836,275.498870393964
NLA06608-0805,105917.286132813,1700.23090294164,1.474,3.041,122.6348496749269
NLA06608-0037,2369556.10473633,14011.4963340531,2.568,1.907,329.61078913721315
NLA06608-0293,235524.724609375,2529.45560841973,1.47,3.063,157.54652151731202
NLA06608-0294,761953.438476563,4825.81948967259,1.56,2.857,297.05370749471484
NLA06608-2086,125478.573730469,1737.69350138535,1.384,1.96,136.94560634427378
NLA06608-0113,833522.47265625,4253.67096012475,1.314,2.106,331.706047540427
NLA06608-0038,2206479.11230469,7974.49872653691,1.514,2.115,460.225855326277
NLA06608-0913,1043876.38720703,11144.4033245177,3.077,1.561,281.95794188608767
NLA06608-0726,120184.533203125,1615.1322535936,1.314,1.564,149.50997637034646
NLA06608-0738,769235.766601563,5999.97154976131,1.93,1.108,228.21210619600328
NLA06608-ELS:1C2-032,125727.560546875,1716.00755540653,1.365,1.802,104.44105994481578
NLA06608-3698,937524.084472656,9556.28894844991,2.784,2.704,238.97429961065043
NLA06608-0562,1572912.61669922,19851.2763111786,4.465,1.555,175.88797775049065
NLA06608-0006,561997.105712891,5837.0049658806,2.196,2.862,188.92595003596057
NLA06608-ELS:1C3-003,163776.883300781,2066.62958803788,1.441,2.348,136.1078368027471
NLA06608-ALPS-1218,99176.5703125,1212.13974758561,1.086,1.468,131.86608696988367
NLA06608-NH250L,75609.2563476563,1081.44999416093,1.109,1.036,123.5309442191115
NLA06608-0470,1328445.35888672,6024.75137666161,1.475,1.531,363.09880204133515
NLA06608-0418,512807.656738281,4248.87188679869,1.674,1.466,216.38799438580577
NLA06608-0226,50551.9697265625,1014.54883985179,1.273,1.61,95.13629077432219
NLA06608-0550,615956.72265625,4716.01083671769,1.695,3.124,266.1528643935894
NLA06608-0710,152457.005859375,1555.73437089613,1.124,1.693,173.4149968234755
NLA06608-0754,1257232.953125,8175.58483972577,2.057,3.413,291.717468267455
NLA06608-3846,380036.700195313,4055.06994818667,1.856,2.608,165.35674780048555
NLA06608-0946,440595.140625,5597.98669910567,2.379,2.437,170.92924303969087
NLA06608-NELP-2155,211464.281738281,2133.73165874034,1.309,1.282,176.34971413742952
NLA06608-NH4912,422152.666503906,2939.90077298672,1.276,2.081,222.9415013919527
NLA06608-ELS:1D2-087,129585.451171875,1844.73566533226,1.446,1.773,122.45588661812914
NLA06608-ELS:1D1-035,812851.227050781,5394.03111763902,1.688,1.036,230.0682579876479
NLA06608-0997,384579.706542969,3059.17142553104,1.392,2.126,225.8904302958099
NLA06608-1333,166405.595703125,2175.53352466834,1.504,2.807,151.47709711257397
NLA06608-4252,262184.706054688,2454.3205876697,1.352,2.687,172.30640819418474
NLA06608-0806,278275.877929688,2944.89250843361,1.575,1.829,211.33197999482974
NLA06608-0369,3066708.67871094,8689.66793878553,1.4,1.43,572.7642246262207
NLA06608-0421,258657.548583984,4036.89651883557,2.239,3.649,113.3917715635019
NLA06608-1273,326836.691162109,4349.44887964119,2.146,2.514,188.71782118495807
NLA06608-0077,653284.19921875,5103.48577408945,1.781,1.663,298.41605895784863
NLA06608-0761,219616.699951172,2488.51137053096,1.498,3.436,158.12782894141122
NLA06608-1037,2162563.56201172,22914.7553039813,4.396,1.099,218.4294652030816
NLA06608-0469,127123.532470703,1907.14963425142,1.509,3.093,121.87481187851061
NLA06608-1637,201265.398681641,1811.9274671111,1.139,1.938,188.48145298571407
NLA06608-1189,303531.183105469,2185.11990372388,1.119,1.199,249.99061326748182
NLA06608-0869,291065.900146484,4269.69238324881,2.233,2.718,129.5641903920816
NLA06608-0185,975711.357910156,8492.04265078401,2.425,4.526,276.46200833901014
NLA06608-1209,2086938.57739258,16821.5074839981,3.285,2.273,314.6051353670091
NLA06608-1465,4489597.89550781,37738.0005120443,5.024,4.78,401.1786165801723
NLA06608-1145,631961.387451172,3830.80226543763,1.359,1.021,309.17006262963935
NLA06608-0141,654748.227050781,9836.27030103874,3.429,2.662,150.94675679723505
NLA06608-0717,691146.165771484,7292.41791942698,2.474,3.84,155.8008922568193
NLA06608-1741,230487.697021484,4427.95082982807,2.602,2.738,102.16399587283694
NLA06608-2253,249678.308349609,5554.10405829598,3.136,2.31,102.64395196963228
NLA06608-0029,731004.03125,11559.8584211801,3.814,1.557,147.99884527890023
NLA06608-0405,126194.145507813,1399.42049809256,1.111,1.145,162.98145484722977
NLA06608-0661,712545.495361328,9101.96393081503,3.042,2.895,162.9358255764743
NLA06608-0149,139443.677001953,1606.33957473337,1.213,1.698,131.39071096175533
NLA06608-0377,54598.3332519531,1089.67989016,1.316,2.148,90.83189735582268
NLA06608-1401,910619.313476563,7592.59063503355,2.244,8.517,166.74322866874365
NLA06608-0386,315467.384765625,2652.08751167873,1.332,1.143,239.31179478904033
