NLAID,deviation_100_max,deviation_100_median,deviation_100_min,deviation_100_p70,deviation_100_p80,deviation_100_p90,deviation_1000_max,deviation_1000_median,deviation_1000_min,deviation_1000_p70,deviation_1000_p80,deviation_1000_p90,deviation_500_max,deviation_500_median,deviation_500_min,deviation_500_p70,deviation_500_p80,deviation_500_p90,relief_100_max,relief_100_median,relief_100_min,relief_100_p70,relief_100_p80,relief_100_p90,relief_1000_max,relief_1000_median,relief_1000_min,relief_1000_p70,relief_1000_p80,relief_1000_p90,relief_500_max,relief_500_median,relief_500_min,relief_500_p70,relief_500_p80,relief_500_p90,slope_max,slope_median,slope_min,slope_p70,slope_p80,slope_p90,vcurv_max,vcurv_median,vcurv_min,vcurv_p70,vcurv_p80,vcurv_p90,maxdepth,dist_pole
NLA06608-0393,83,23.99999999999999,0,31.000000000000004,36.00000000000001,42.00000000000001,358,138.5308072308779,34,164.49375765410252,178.46107677680064,198.4647006019643,272,100.50536372779081,15,124.42247830322358,136.48586420861514,154.5603184620613,83,23.99999999999999,0,31.000000000000004,36.00000000000001,42.00000000000001,358,138.5308072308779,34,164.49375765410252,178.46107677680064,198.4647006019643,272,100.50536372779081,15,124.42247830322358,136.48586420861514,154.5603184620613,1.5937574840330868,0.2298149231023221,0,0.3316709404768697,0.39417942980270076,0.4801405647655291,0.006028222156483626,-6.395555507777007e-4,-0.0072502034325193305,-9.5015673815967e-5,2.1506704984574623e-4,8.825058943634083e-4,42.5,267.4909483006445
NLA12_IA-120,32,5.000000000000001,0,7.000000000000002,8,9,46,19.00000000000001,0,22,24.000000000000004,28.999999999999996,38,14.000000000000009,0,16,17.000000000000004,19.999999999999996,32,5.000000000000001,0,7.000000000000002,8,9,46,19.00000000000001,0,22,24.000000000000004,28.999999999999996,38,14.000000000000009,0,16,17.000000000000004,19.999999999999996,0.5215730225211368,0.05397674248190288,0,0.0735085905563512,0.08896522105750093,0.11084090531608597,0.0013877444846396695,4.320628587941242e-6,-0.0018749226696966991,1.9189939967963025e-4,2.986301841038303e-4,4.475287155293264e-4,3.2,1150.8596237769134
NLA06608-1323,84,9.000000000000002,0,13.000000000000007,16,20,120,34.99999999999999,9,46.00000000000002,53.999999999999986,64.99999999999997,112,27.999999999999986,5,36.99999999999999,44,54,84,9.000000000000002,0,13.000000000000007,16,20,120,34.99999999999999,9,46.00000000000002,53.999999999999986,64.99999999999997,112,27.999999999999986,5,36.99999999999999,44,54,1.4479206756539489,0.08151741556022371,0,0.12820971036480533,0.15973474736857088,0.21428959002536244,0.005225287918845144,2.9962640750642146e-5,-0.00422044731685681,2.750403961843598e-4,4.540565968502162e-4,8.258216264123216e-4,21.5,536.5848386031707
NLA12_WY-102,379,18.786636250709176,0,34.83397060888451,52.510438802284774,76.953678150183,626,169.44270606445397,3,229.4840332945612,273.4518608885799,349.4729186501641,497,98.59487426870572,0,168.48760905325952,204.51618482356142,260.5170220188381,379,18.786636250709176,0,34.83397060888451,52.510438802284774,76.953678150183,626,169.44270606445397,3,229.4840332945612,273.4518608885799,349.4729186501641,497,98.59487426870572,0,168.48760905325952,204.51618482356142,260.5170220188381,9.584559802313017,0.15671185099054283,0,0.3433253356355436,0.4670972308751289,0.7805767328678144,0.014268792642230929,-3.4760199411241344e-4,-0.018805691150475392,1.1221539236220898e-4,6.075141085588927e-4,0.0013385055380516228,53,1153.7363881722054
NLA06608-1873,253,34.00000000000003,0,50.99999999999999,59.99999999999999,72,882,317.5072420227064,37,485.4313701287251,541.5477574804368,609.5050730151831,503,180.52818316632712,16,264.51185702525424,308.5268182833321,342.48788342323485,253,34.00000000000003,0,50.99999999999999,59.99999999999999,72,882,317.5072420227064,37,485.4313701287251,541.5477574804368,609.5050730151831,503,180.52818316632712,16,264.51185702525424,308.5268182833321,342.48788342323485,4.256962278329052,0.39000763249865916,0,0.5777955606634273,0.6718200084400915,0.7965673990766864,0.007947513636353768,-7.053997832780261e-4,-0.0073940868302596555,-8.812882661851533e-5,2.0980837111761602e-4,8.230561332069744e-4,44.8,844.4640659559424
NLA12_FL-101,64,4,0,5.000000000000002,6.000000000000001,8,74,11.999999999999995,0,14.999999999999995,17.999999999999982,24.00000000000001,69,8.999999999999986,0,11.000000000000004,12.000000000000007,16,64,4,0,5.000000000000002,6.000000000000001,8,74,11.999999999999995,0,14.999999999999995,17.999999999999982,24.00000000000001,69,8.999999999999986,0,11.000000000000004,12.000000000000007,16,1.0756190229841502,0.039723639890433184,0,0.05844126418876204,0.06493524105214157,0.08946133812410037,0.0016579265278394899,4.875011706928838e-6,-0.001471486346212461,1.4466707274331966e-4,2.5154316373607853e-4,4.0401475507872335e-4,4.050000000000001,18009.211005264267
NLA12_MT-111,92,19.999999999999993,1,28,32,39.000000000000014,442,156.52765758547008,18,200.59027077352778,250.46505901333109,304.4342324805339,252,95,8,118.17710169594557,134,157,92,19.999999999999993,1,28,32,39.000000000000014,442,156.52765758547008,18,200.59027077352778,250.46505901333109,304.4342324805339,252,95,8,118.17710169594557,134,157,1.538776573121465,0.19876655527144796,0,0.30037511043146353,0.363204402894682,0.4576903111723523,0.01113351465687494,-4.1965843063027146e-4,-0.004862479534319664,6.0705434149041345e-5,3.0227677758408423e-4,7.788573137837068e-4,50,865.4248566525631
NLA06608-1893,67,8.999999999999995,0,11.999999999999998,14.999999999999996,20,120,50.99999999999999,10,65,74.00000000000001,84.99999999999996,111,32.99999999999999,6,46.00000000000001,53.999999999999986,65.00000000000001,67,8.999999999999995,0,11.999999999999998,14.999999999999996,20,120,50.99999999999999,10,65,74.00000000000001,84.99999999999996,111,32.99999999999999,6,46.00000000000001,53.999999999999986,65.00000000000001,1.2209923705818229,0.09002811377291782,0,0.12939767761432885,0.15975807824449195,0.22316295166146538,0.005223210500073381,-1.5055338050264504e-4,-0.005120910802854081,2.9505867334851736e-5,2.1622045283649154e-4,3.9785923334464593e-4,7,500.4320563471495
NLA12_KY-122,22,7.000000000000002,0,8,8.999999999999998,11,47,20.999999999999993,12,23.999999999999982,26.000000000000007,29.999999999999993,33,15.000000000000004,8,16.999999999999996,18.999999999999996,20.999999999999996,22,7.000000000000002,0,8,8.999999999999998,11,47,20.999999999999993,12,23.999999999999982,26.000000000000007,29.999999999999993,33,15.000000000000004,8,16.999999999999996,18.999999999999996,20.999999999999996,0.46200557488122973,0.06378523103503933,0,0.08905027739976935,0.10450968769586329,0.12760116271581307,0.0011909138621575195,-1.2871412051453215e-4,-0.0013728095268619445,9.76592202499411e-5,2.3593214672824533e-4,3.7429628968478813e-4,8.2,135.11944383070266
NLA06608-2091,51,5.999999999999997,0,8,10.000000000000005,12.999999999999988,118,20.000000000000004,7,25.00000000000001,32,43.99999999999999,82,14.999999999999991,4,18.000000000000004,21.00000000000001,28.999999999999993,51,5.999999999999997,0,8,10.000000000000005,12.999999999999988,118,20.000000000000004,7,25.00000000000001,32,43.99999999999999,82,14.999999999999991,4,18.000000000000004,21.00000000000001,28.999999999999993,0.9815743667327066,0.05221115201358287,0,0.07910331939266123,0.10004962560760586,0.13782405384770693,0.0036017628715119088,-4.6299804155838244e-5,-0.00334959271575863,1.6690356266908693e-4,2.895027887324607e-4,5.947627332845924e-4,13.7,475.73994536761245
NLA12_ND-194,32,8,0,10.999999999999984,13.000000000000007,15,60,24,10,32,37,42,57,23.000000000000004,8,30.99999999999999,34.99999999999999,40.99999999999998,32,8,0,10.999999999999984,13.000000000000007,15,60,24,10,32,37,42,57,23.000000000000004,8,30.99999999999999,34.99999999999999,40.99999999999998,0.5846105132060059,0.08089982935781859,0,0.12724580108076872,0.154920150638613,0.19723603824505503,0.00179353446758415,-1.9657791270668472e-4,-0.002995116025875433,7.665010048621998e-5,2.276185456563338e-4,4.4170042241526e-4,2.4,312.4867530790383
NLA06608-0239,107,19.999999999999993,0,24.999999999999996,28,35.99999999999999,342,174.487590514285,10,224.48866989291483,246.46764721195385,270.4835981475287,230,97.14900400872949,0,121.16561133639927,143,168.99999999999997,107,19.999999999999993,0,24.999999999999996,28,35.99999999999999,342,174.487590514285,10,224.48866989291483,246.46764721195385,270.4835981475287,230,97.14900400872949,0,121.16561133639927,143,168.99999999999997,1.5870175437317435,0.18273545972628424,0,0.2540803145167861,0.30061153549916475,0.37826596209846763,0.004171327306108933,-2.7381878681744377e-4,-0.005115981247863699,-2.4711946241285208e-5,9.234746433540677e-5,4.5534866848599996e-4,16.5,765.0147386096619
NLA12_SD-183,52,10.999999999999991,0,13.999999999999991,16,18.999999999999996,190,64.21422303965915,0,78.14062979928744,89.45098968212936,104.47087653016655,124,40.000000000000014,0,50.99999999999997,57.00000000000001,66.99999999999999,52,10.999999999999991,0,13.999999999999991,16,18.999999999999996,190,64.21422303965915,0,78.14062979928744,89.45098968212936,104.47087653016655,124,40.000000000000014,0,50.99999999999997,57.00000000000001,66.99999999999999,0.9502808169917375,0.1068756152677576,0,0.15473804931474025,0.17824578249356443,0.21255031375169797,0.004593060170053497,-2.7447484924081913e-4,-0.0032159278628463316,2.351975391975195e-5,2.1203192608582145e-4,7.616750886695182e-4,7,1354.3677724621311
NLA06608-0129,53,19.999999999999986,1,24.999999999999982,28.99999999999999,33.000000000000014,282,170.48363766710247,21,198.5147542970248,210.50363043011836,226.531030632728,189,99.00000000000001,8,117.00000000000001,126.99999999999999,140.00000000000003,53,19.999999999999986,1,24.999999999999982,28.99999999999999,33.000000000000014,282,170.48363766710247,21,198.5147542970248,210.50363043011836,226.531030632728,189,99.00000000000001,8,117.00000000000001,126.99999999999999,140.00000000000003,0.7058503358647129,0.20157600302282142,0,0.28342274316628874,0.3225428162763708,0.3765601086046894,0.004116087804221905,-3.514693486839453e-4,-0.002971204305395824,4.429272422281508e-5,2.9081019038810883e-4,6.869882511537051e-4,44.25,863.56547420643
NLA06608-0878,18,4,1,5.999999999999997,7.000000000000001,8,29,11.999999999999998,6,14.000000000000005,16,18.00000000000001,29,10.000000000000002,4,12.000000000000002,13,16,18,4,1,5.999999999999997,7.000000000000001,8,29,11.999999999999998,6,14.000000000000005,16,18.00000000000001,29,10.000000000000002,4,12.000000000000002,13,16,0.2680965878522437,0.03999158454839473,0,0.053939375705240586,0.06887416614087224,0.09514415637998497,0.001533343353336449,-2.4219251139158372e-005,-9.43250141781569e-4,1.1475870225048635e-4,2.2011825892980874e-4,3.706359854760794e-4,15,449.90604628839856
NLA06608-1985,149,19.426092211360967,0,27.217453423837924,31,37.71555569754068,404,138.5606280975958,6,162.51235790496156,176.50410594850987,198.50462003932168,316,92.87211957506746,0,110.75851916877434,122.83331358953095,140.79849088721525,149,19.426092211360967,0,27.217453423837924,31,37.71555569754068,404,138.5606280975958,6,162.51235790496156,176.50410594850987,198.50462003932168,316,92.87211957506746,0,110.75851916877434,122.83331358953095,140.79849088721525,2.5592763944952406,0.19581246527560786,0,0.28956714297034364,0.33660063979320287,0.4296218906140001,0.006391350320672774,-6.397553976957216e-4,-0.006836789022338245,2.103532377455378e-5,3.3686208377035735e-4,9.452754245560747e-4,48.8,1573.3610849369895
NLA06608-2955,85,9.999999999999998,0,13.000000000000002,16,21.999999999999993,196,40.99999999999999,7,58.183480738501,72.29261563967532,92.59405341002233,181,26.25571729180999,4,37.20441980863501,47.00763352609752,66.28701450226511,85,9.999999999999998,0,13.000000000000002,16,21.999999999999993,196,40.99999999999999,7,58.183480738501,72.29261563967532,92.59405341002233,181,26.25571729180999,4,37.20441980863501,47.00763352609752,66.28701450226511,1.1942934199743318,0.08948661077994807,0,0.12796863656759955,0.16043429492305347,0.23015609025509048,0.007380368989007138,-2.9903021807590264e-5,-0.005649132565238889,2.741880846273728e-4,4.56808053492251e-4,7.614392887138317e-4,9.5,659.0155530697633
NLA12_AL-103,85,10.000000000000004,0,13.000000000000004,16,21.999999999999993,196,40.99999999999997,7,58.183408278427464,71.99999999999999,92.65448813426099,181,26.192196155656212,4,37.2050196300833,47.01002470624194,66.28698248453009,85,10.000000000000004,0,13.000000000000004,16,21.999999999999993,196,40.99999999999997,7,58.183408278427464,71.99999999999999,92.65448813426099,181,26.192196155656212,4,37.2050196300833,47.01002470624194,66.28698248453009,1.1942934199743318,0.089487034584937,0,0.127968895577163,0.1604345983090961,0.23015536191067837,0.007380368989007138,-2.990059609367331e-5,-0.005649132565238889,2.741880385157645e-4,4.568070583714197e-4,7.61437732042899e-4,6.5,659.0142536784043
NLA12_NE-101,33,5.999999999999989,0,7.000000000000006,8,10.000000000000004,52,24.000000000000004,6,27.999999999999996,30.000000000000068,34.00000000000003,48,16.999999999999986,2,20.999999999999993,23.000000000000007,26.00000000000002,33,5.999999999999989,0,7.000000000000006,8,10.000000000000004,52,24.000000000000004,6,27.999999999999996,30.000000000000068,34.00000000000003,48,16.999999999999986,2,20.999999999999993,23.000000000000007,26.00000000000002,0.7126491275301636,0.05312054408111324,0,0.07733911371284137,0.09079557608901728,0.11601147990461108,0.0021698032941398523,-4.567499938545685e-5,-0.0020133883327323973,1.0566583822575386e-4,2.2970194062559468e-4,4.429889806807333e-4,9.5,1777.8128233747086
NLA06608-0597,22,4,0,6.000000000000002,7.0000000000000036,8.999999999999998,73,23.999999999999968,5,32,37.00000000000001,45.00000000000001,54,15.000000000000009,3,20.999999999999996,24,30,22,4,0,6.000000000000002,7.0000000000000036,8.999999999999998,73,23.999999999999968,5,32,37.00000000000001,45.00000000000001,54,15.000000000000009,3,20.999999999999996,24,30,0.38633707026594477,0.04466954655499381,0,0.06559997232149722,0.06874472180263072,0.09502539245674212,0.0016275982201859852,7.367733790490855e-6,-0.001051730270868817,1.290267876204717e-4,2.2030999091306996e-4,4.03639304790578e-4,8.9,1747.087814318003
NLA12_FL-108,37,6.000000000000011,0,8,10,14.000000000000002,60,21.999999999999996,12,25.000000000000032,27.00000000000001,30.00000000000004,54,17.999999999999986,4,20.999999999999996,22.999999999999996,26.000000000000046,37,6.000000000000011,0,8,10,14.000000000000002,60,21.999999999999996,12,25.000000000000032,27.00000000000001,30.00000000000004,54,17.999999999999986,4,20.999999999999996,22.999999999999996,26.000000000000046,0.6908733509813136,0.05206481461876281,0,0.07532043704602444,0.0952833973646772,0.1308794831296824,0.0016668717717021296,-1.0613261175051138e-4,-0.0023006840262281706,1.0716746490542469e-4,1.9902279248119954e-4,3.8018692587943055e-4,5.5,784.9276479568582
NLA06608-2185,68,21,0,29.999999999999996,36.99999999999999,43.999999999999986,367,178.57094997022037,7,236.51509433962266,262.41649850180403,296.4640559665487,236,94.21939094764652,4,144,168.00000000000003,187.99999999999994,68,21,0,29.999999999999996,36.99999999999999,43.999999999999986,367,178.57094997022037,7,236.51509433962266,262.41649850180403,296.4640559665487,236,94.21939094764652,4,144,168.00000000000003,187.99999999999994,0.9158486491377539,0.19271390660731136,0,0.310667531166157,0.3846556512574857,0.485836265341489,0.002768193347300711,-1.990257652191133e-4,-0.0030722612841998192,1.0916598593455263e-4,3.2104139645026296e-4,8.037745455019822e-4,20.6,950.6370226032343
NLA12_ME-102,44,11.999999999999993,1,17.000000000000004,19,22.999999999999993,247,117.00000000000003,25,160.00000000000003,187.99999999999997,214,170,64.99999999999999,6,79,94,110.99999999999997,44,11.999999999999993,1,17.000000000000004,19,22.999999999999993,247,117.00000000000003,25,160.00000000000003,187.99999999999997,214,170,64.99999999999999,6,79,94,110.99999999999997,0.5200552043033976,0.11964807425182698,0,0.1621564538615,0.19719792143831832,0.24434899082216757,0.0022155250166242236,-3.1992576014082803e-4,-0.0021765955824156477,-1.4561282655643547e-5,1.3681357282099683e-4,4.4303527570808314e-4,25,521.2772510654635
NLA06608-0257,151,24.464826329192473,0,35.00000000000001,41.37357863124427,50.441111599344104,660,233.49398820802952,0,321.46199628904117,361.5199328543827,409.4672987683181,431,126.49880308650123,0,178.51638418253958,200.50136269518265,232.50078721537344,151,24.464826329192473,0,35.00000000000001,41.37357863124427,50.441111599344104,660,233.49398820802952,0,321.46199628904117,361.5199328543827,409.4672987683181,431,126.49880308650123,0,178.51638418253958,200.50136269518265,232.50078721537344,2.117761284567919,0.2735450084806802,0,0.41497091869804714,0.5075873090101624,0.6170550130449926,0.007941211074695736,5.802037537973355e-5,-0.008762611466748551,3.0313789764299626e-4,5.47926899698195e-4,9.137900108287778e-4,48.8,1446.358459643217
NLA12_AR-109,16,10.000000000000002,4,11,13.000000000000002,13.000000000000002,40,30.999999999999993,23,34,34.99999999999999,36.99999999999999,34,22.000000000000004,16,24.000000000000004,25,29,16,10.000000000000002,4,11,13.000000000000002,13.000000000000002,40,30.999999999999993,23,34,34.99999999999999,36.99999999999999,34,22.000000000000004,16,24.000000000000004,25,29,0.20877958751821182,0.09712374255629407,0.0161872933341078,0.1133267326731315,0.13523416579267383,0.15092457433995138,0.0017417259936750897,-6.818690777076423e-5,-0.0011127574779263279,2.3677266676607595e-4,3.8067425914322463e-4,5.775034733656261e-4,7.8,72.75275673465751
NLA12_SD-165,10,5.000000000000001,3,5.000000000000001,6,6,25,19.999999999999996,16,22.000000000000004,23,24,20,12.999999999999998,9,14.000000000000002,15.000000000000002,17.000000000000004,10,5.000000000000001,3,5.000000000000001,6,6,25,19.999999999999996,16,22.000000000000004,23,24,20,12.999999999999998,9,14.000000000000002,15.000000000000002,17.000000000000004,0.12311088789671336,0.04805982893684128,0,0.06474916676910376,0.06978121668365994,0.08403965078325182,5.733445029812675e-4,-1.7696214637769042e-4,-9.876010942703904e-4,-4.9698784502310516e-5,1.2492067225060706e-4,2.7141898274018664e-4,3,61.009883285110675
